phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786621869.178976,1786621870.576000,1786621869.877488,0.700948,1,82.0000,0.8600,96.0000,1350.0000,51.4000,
run,1,1786621870.576117,1786621871.613261,1786621871.094689,1.918149,1,67.0000,0.8600,78.0000,1350.0000,50.9000,
run,2,1786621871.613456,1786621872.586869,1786621872.100163,2.923623,1,67.0000,0.8600,78.0000,1350.0000,51.0000,
run,3,1786621872.586980,1786621873.631620,1786621873.109300,3.932760,1,67.0000,0.8600,78.0000,1350.0000,51.3000,
run,4,1786621873.631732,1786621874.623950,1786621874.127841,4.951301,1,67.0000,0.8600,78.0000,1350.0000,51.2000,
run,5,1786621874.624221,1786621875.679616,1786621875.151919,5.975379,1,67.0000,0.8600,78.0000,1350.0000,51.2000,
run,6,1786621875.679727,1786621876.749872,1786621876.214799,7.038260,1,68.0000,0.8600,79.0000,1350.0000,51.4000,
run,7,1786621876.749978,1786621877.742972,1786621877.246475,8.069935,1,67.0000,0.8600,78.0000,1350.0000,51.6000,
run,8,1786621877.743020,1786621878.734864,1786621878.238942,9.062402,1,67.0000,0.8600,78.0000,1350.0000,51.7000,
run,9,1786621878.734910,1786621879.750519,1786621879.242714,10.066175,1,67.0000,0.8600,78.0000,1350.0000,51.7000,
run,10,1786621879.750782,1786621880.783933,1786621880.267358,11.090818,1,67.0000,0.8600,78.0000,1350.0000,51.7000,
run,11,1786621880.784047,1786621881.767163,1786621881.275605,12.099065,1,67.0000,0.8600,78.0000,1350.0000,52.1000,
run,12,1786621881.767351,1786621882.760782,1786621882.264066,13.087527,1,67.0000,0.8600,78.0000,1350.0000,51.8000,
run,13,1786621882.760892,1786621883.754650,1786621883.257771,14.081231,1,68.0000,0.8600,79.0000,1350.0000,51.9000,
run,14,1786621883.754697,1786621884.772961,1786621884.263829,15.087289,1,68.0000,0.8600,79.0000,1350.0000,52.1000,
run,15,1786621884.773199,1786621885.805187,1786621885.289193,16.112653,1,67.0000,0.8600,78.0000,1350.0000,52.1000,
run,16,1786621885.805236,1786621886.839782,1786621886.322509,17.145969,1,67.0000,0.8600,78.0000,1350.0000,51.8000,
run,17,1786621886.839897,1786621887.829976,1786621887.334936,18.158396,1,67.0000,0.8600,78.0000,1350.0000,52.1000,
run,18,1786621887.830087,1786621888.810737,1786621888.320412,19.143872,1,67.0000,0.8600,78.0000,1350.0000,52.2000,
run,19,1786621888.810789,1786621889.821599,1786621889.316194,20.139654,1,67.0000,0.8600,78.0000,1350.0000,52.2000,
run,20,1786621889.821833,1786621890.852766,1786621890.337300,21.160760,1,68.0000,0.8600,79.0000,1350.0000,52.3000,
run,21,1786621890.852877,1786621891.852757,1786621891.352818,22.176278,1,67.0000,0.8600,78.0000,1350.0000,52.3000,
run,22,1786621891.852869,1786621892.848799,1786621892.350834,23.174294,1,67.0000,0.8600,78.0000,1350.0000,52.1000,
run,23,1786621892.848845,1786621893.835063,1786621893.341954,24.165414,1,69.0000,0.8600,81.0000,1350.0000,52.6000,
run,24,1786621893.835181,1786621894.890918,1786621894.363050,25.186510,1,67.0000,0.8600,78.0000,1350.0000,52.5000,
run,25,1786621894.891155,1786621895.950653,1786621895.420904,26.244364,1,68.0000,0.8600,79.0000,1350.0000,52.2000,
run,26,1786621895.950703,1786621896.990599,1786621896.470651,27.294111,1,67.0000,0.8600,78.0000,1350.0000,52.5000,
run,27,1786621896.990715,1786621897.989161,1786621897.489938,28.313398,1,67.0000,0.8600,78.0000,1350.0000,52.6000,
run,28,1786621897.989269,1786621898.999141,1786621898.494205,29.317665,1,67.0000,0.8600,78.0000,1350.0000,52.6000,
run,29,1786621898.999248,1786621900.013918,1786621899.506583,30.330043,1,69.0000,0.8600,81.0000,1350.0000,52.7000,
run,30,1786621900.014153,1786621901.051994,1786621900.533074,31.356534,1,69.0000,0.8600,81.0000,1350.0000,52.7000,
run,31,1786621901.052043,1786621902.086759,1786621901.569401,32.392861,1,68.0000,0.8600,79.0000,1350.0000,52.7000,
run,32,1786621902.086870,1786621903.083502,1786621902.585186,33.408646,1,68.0000,0.8600,79.0000,1350.0000,52.8000,
run,33,1786621903.083550,1786621904.078176,1786621903.580863,34.404323,1,69.0000,0.8600,81.0000,1350.0000,52.8000,
run,34,1786621904.078351,1786621905.113845,1786621904.596098,35.419558,1,68.0000,0.8600,79.0000,1350.0000,52.7000,
run,35,1786621905.114113,1786621906.173038,1786621905.643575,36.467035,1,67.0000,0.8600,78.0000,1350.0000,52.7000,
run,36,1786621906.173151,1786621907.154563,1786621906.663857,37.487317,1,67.0000,0.8600,78.0000,1350.0000,53.1000,
run,37,1786621907.154673,1786621908.142708,1786621907.648690,38.472150,1,67.0000,0.8600,78.0000,1350.0000,53.1000,
run,38,1786621908.142819,1786621909.126903,1786621908.634861,39.458321,1,67.0000,0.8600,78.0000,1350.0000,53.0000,
run,39,1786621909.127017,1786621910.171690,1786621909.649354,40.472814,1,67.0000,0.8600,78.0000,1350.0000,53.2000,
run,40,1786621910.171928,1786621911.240090,1786621910.706009,41.529469,1,42.0000,0.7400,57.0000,800.0000,51.9000,
run,41,1786621911.240198,1786621912.236457,1786621911.738328,42.561788,1,39.0000,0.7400,54.0000,800.0000,50.0000,
