t,aiclk,arcclk,axiclk,therm_trip
1786622277.356923,800,800,960,0
1786622277.608398,800,800,960,0
1786622277.858864,1350,800,960,0
1786622278.109293,1350,800,960,0
1786622278.359743,1350,800,960,0
1786622278.610546,1350,800,960,0
1786622278.861332,1350,800,960,0
1786622279.111773,1350,800,960,0
1786622279.362196,1350,800,960,0
1786622279.612760,1350,800,960,0
1786622279.863243,1350,800,960,0
1786622280.113735,1350,800,960,0
1786622280.364159,1350,800,960,0
1786622280.614652,1350,800,960,0
1786622280.865081,1350,800,960,0
1786622281.115606,1350,800,960,0
1786622281.366035,1350,800,960,0
1786622281.616523,1350,800,960,0
1786622281.866948,1350,800,960,0
1786622282.117444,1350,800,960,0
1786622282.367870,1350,800,960,0
1786622282.618300,1350,800,960,0
1786622282.868726,1350,800,960,0
1786622283.119147,1350,800,960,0
1786622283.369640,1350,800,960,0
1786622283.620068,1350,800,960,0
1786622283.870674,1350,800,960,0
1786622284.121571,1350,800,960,0
1786622284.372163,1350,800,960,0
1786622284.622725,1350,800,960,0
1786622284.873253,1350,800,960,0
1786622285.123754,1350,800,960,0
1786622285.374176,1350,800,960,0
1786622285.624659,1350,800,960,0
1786622285.875083,1350,800,960,0
1786622286.125570,1350,800,960,0
1786622286.375995,1350,800,960,0
1786622286.626487,1350,800,960,0
1786622286.876916,1350,800,960,0
1786622287.127406,1350,800,960,0
1786622287.377832,1350,800,960,0
1786622287.628253,1350,800,960,0
1786622287.878736,1350,800,960,0
1786622288.129186,1350,800,960,0
1786622288.379662,1350,800,960,0
1786622288.630133,1350,800,960,0
1786622288.880634,1350,800,960,0
1786622289.131145,1350,800,960,0
1786622289.382037,1350,800,960,0
1786622289.632683,1350,800,960,0
1786622289.883208,1350,800,960,0
1786622290.133715,1350,800,960,0
1786622290.384138,1350,800,960,0
1786622290.634630,1350,800,960,0
1786622290.885055,1350,800,960,0
1786622291.135553,1350,800,960,0
1786622291.385977,1350,800,960,0
1786622291.636470,1350,800,960,0
1786622291.886892,1350,800,960,0
1786622292.137432,1350,800,960,0
1786622292.387856,1350,800,960,0
1786622292.638337,1350,800,960,0
1786622292.888762,1350,800,960,0
1786622293.139238,1350,800,960,0
1786622293.389729,1350,800,960,0
1786622293.640155,1350,800,960,0
1786622293.890646,1350,800,960,0
1786622294.141068,1350,800,960,0
1786622294.391647,1350,800,960,0
1786622294.642523,1350,800,960,0
1786622294.893251,1350,800,960,0
1786622295.143855,1350,800,960,0
1786622295.394338,1350,800,960,0
1786622295.644767,1350,800,960,0
1786622295.895192,1350,800,960,0
1786622296.145686,1350,800,960,0
1786622296.396114,1350,800,960,0
1786622296.646656,1350,800,960,0
1786622296.897081,1350,800,960,0
1786622297.147574,1350,800,960,0
1786622297.397995,1350,800,960,0
1786622297.648494,1350,800,960,0
1786622297.898921,1350,800,960,0
1786622298.149414,1350,800,960,0
1786622298.399861,1350,800,960,0
1786622298.650292,1350,800,960,0
1786622298.900733,1350,800,960,0
1786622299.151156,1350,800,960,0
1786622299.401647,1350,800,960,0
1786622299.652149,1350,800,960,0
1786622299.903020,1350,800,960,0
1786622300.154016,1350,800,960,0
1786622300.404509,1350,800,960,0
1786622300.654979,1350,800,960,0
1786622300.905473,1350,800,960,0
1786622301.155898,1350,800,960,0
1786622301.406384,1350,800,960,0
1786622301.656809,1350,800,960,0
1786622301.907237,1350,800,960,0
1786622302.157734,1350,800,960,0
1786622302.408190,1350,800,960,0
1786622302.658685,1350,800,960,0
1786622302.909200,1350,800,960,0
1786622303.159709,1350,800,960,0
1786622303.410182,1350,800,960,0
1786622303.660690,1350,800,960,0
1786622303.911157,1350,800,960,0
1786622304.161672,1350,800,960,0
1786622304.412111,1350,800,960,0
1786622304.662661,1350,800,960,0
1786622304.913165,1350,800,960,0
1786622305.164621,1350,800,960,0
1786622305.415257,1350,800,960,0
1786622305.665756,1350,800,960,0
1786622305.916193,1350,800,960,0
1786622306.166700,1350,800,960,0
1786622306.417141,1350,800,960,0
1786622306.667629,1350,800,960,0
1786622306.918057,1350,800,960,0
1786622307.168564,1350,800,960,0
1786622307.419066,1350,800,960,0
1786622307.669562,1350,800,960,0
1786622307.919984,1350,800,960,0
1786622308.170479,1350,800,960,0
1786622308.420902,1350,800,960,0
1786622308.671429,1350,800,960,0
1786622308.921855,1350,800,960,0
