# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=wormhole grid_x=10 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=18-18,18-19,18-20,18-21,18-22,18-23,18-24,18-25,19-18,19-19,19-25,20-18,20-20,20-24,21-18,21-21,22-18,22-19,22-22,23-18,23-20,23-23,24-18,24-20,24-24,25-18,25-25
# hops: 21 points, 21 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 20 points, 40 flows
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links
36,shared,2048B/share1,1,2,7,0,25,18,9,1,2,2,20,20,3,4,0,0,1,0,64,2048,7,22,1,0
37,shared,2048B/share2,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,2048,5,22,2,0
37,shared,2048B/share2,1,2,3,0,21,18,4,1,6,2,24,20,8,4,0,0,1,0,64,2048,7,22,2,0
38,shared,2048B/share3,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,2048,5,22,3,0
38,shared,2048B/share3,1,2,2,0,20,18,3,1,5,2,23,20,7,4,0,0,1,0,64,2048,7,22,3,0
39,shared,8192B/share0,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,8192,5,22,0,0
39,shared,8192B/share0,1,2,5,0,23,18,7,1,0,2,18,20,1,4,0,0,1,0,64,8192,7,22,0,0
40,shared,8192B/share1,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,8192,5,22,1,0
40,shared,8192B/share1,1,2,7,0,25,18,9,1,2,2,20,20,3,4,0,0,1,0,64,8192,7,22,1,0
41,shared,8192B/share2,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,8192,5,22,2,0
41,shared,8192B/share2,1,2,3,0,21,18,4,1,6,2,24,20,8,4,0,0,1,0,64,8192,7,22,2,0
42,shared,8192B/share3,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,8192,5,22,3,0
42,shared,8192B/share3,1,2,2,0,20,18,3,1,5,2,23,20,7,4,0,0,1,0,64,8192,7,22,3,0
43,shared,16384B/share0,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,16384,5,22,0,0
43,shared,16384B/share0,1,2,5,0,23,18,7,1,0,2,18,20,1,4,0,0,1,0,64,16384,7,22,0,0
44,shared,16384B/share1,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,16384,5,22,1,0
44,shared,16384B/share1,1,2,7,0,25,18,9,1,2,2,20,20,3,4,0,0,1,0,64,16384,7,22,1,0
45,shared,16384B/share2,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,16384,5,22,2,0
45,shared,16384B/share2,1,2,3,0,21,18,4,1,6,2,24,20,8,4,0,0,1,0,64,16384,7,22,2,0
46,shared,16384B/share3,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,16384,5,22,3,0
46,shared,16384B/share3,1,2,2,0,20,18,3,1,5,2,23,20,7,4,0,0,1,0,64,16384,7,22,3,0
