session,cycle,slot,label,arm,inner,status,launches,wall_s,launches_per_s,power_w,power_sd_w,samples,attempts,sample_failures,pre_idle_w,pre_idle_samples,delta_w,aiclk_mhz,temp_c,sysfs_aiclk_mean,sysfs_aiclk_min,sysfs_aiclk_max,sysfs_aiclk_drift_pct,sysfs_arcclk_mean,therm_trip_delta,clock_samples,power_bracket_w,bracket_lag_s,bracket_samples,tt_smi_version,note
20260817T192711,2,4,mm-4096,mm,4096,ok,54907,48.000330,1143.888,32.0000,0.0000,72,72,0,16.5000,4,15.5000,1000.0,42.3,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,2,5,sfpu-4096,sfpu,4096,ok,34123,48.001186,710.878,31.0278,0.1655,72,72,0,16.5000,4,14.5278,1000.0,42.3,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,2,6,rv-800000,rv,800000,ok,6793,48.006232,141.502,30.9583,0.2012,72,72,0,16.5000,4,14.4583,1000.0,42.2,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,2,7,noc-16384,noc,16384,ok,5691,48.000429,118.561,31.0423,0.2026,71,71,0,16.5000,4,14.5423,1000.0,42.2,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,2,8,mm-16384,mm,16384,ok,28008,48.001396,583.483,33.0423,0.2639,71,71,0,16.5000,4,16.5423,1000.0,42.6,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,2,9,sfpu-16384,sfpu,16384,ok,12544,48.000966,261.328,31.1127,0.3184,71,71,0,16.5000,4,14.6127,1000.0,42.4,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,2,10,noc-4096__control,noc,4096,ok,18937,48.000136,394.520,31.0141,0.1187,71,71,0,16.5000,4,14.5141,1000.0,42.3,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,3,0,baseline,baseline,0,ok,0,40,0,17.0000,0.0000,55,55,0,16.5000,4,0.5000,500.0,40.6,500.0,500.0,500.0,0.000,540.0,,96,,,0,6.2.1,
20260817T192711,3,1,idle-0,idle,0,ok,86339,48.000030,1798.728,30.1127,0.3184,71,71,0,16.2500,4,13.8627,1000.0,41.3,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,3,2,rv-200000,rv,200000,ok,21893,48.001839,456.087,30.9444,0.2307,72,72,0,16.5000,4,14.4444,1000.0,42.1,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,3,3,noc-4096,noc,4096,ok,18935,48.000553,394.475,30.9859,0.1187,71,71,0,16.5000,4,14.4859,1000.0,42.2,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
