session,cycle,slot,label,arm,inner,status,start_s,end_s,launches,wall_s,launches_per_s,pre_file,pow_file,clk_file,post_file,tt_smi_version
20260817T192711,2,3,noc-4096,noc,4096,ok,1786996056.813008,1786996105.399045,18905,48.000306,393.852,raw/c2-s3-noc-4096.pre.csv,raw/c2-s3-noc-4096.pow.csv,raw/c2-s3-noc-4096.clk.csv,,6.2.1
20260817T192711,2,4,mm-4096,mm,4096,ok,1786996106.716653,1786996155.287665,54907,48.000330,1143.888,raw/c2-s4-mm-4096.pre.csv,raw/c2-s4-mm-4096.pow.csv,raw/c2-s4-mm-4096.clk.csv,,6.2.1
20260817T192711,2,5,sfpu-4096,sfpu,4096,ok,1786996156.692694,1786996205.267766,34123,48.001186,710.878,raw/c2-s5-sfpu-4096.pre.csv,raw/c2-s5-sfpu-4096.pow.csv,raw/c2-s5-sfpu-4096.clk.csv,,6.2.1
20260817T192711,2,6,rv-800000,rv,800000,ok,1786996206.683368,1786996255.250431,6793,48.006232,141.502,raw/c2-s6-rv-800000.pre.csv,raw/c2-s6-rv-800000.pow.csv,raw/c2-s6-rv-800000.clk.csv,,6.2.1
20260817T192711,2,7,noc-16384,noc,16384,ok,1786996256.621181,1786996305.193184,5691,48.000429,118.561,raw/c2-s7-noc-16384.pre.csv,raw/c2-s7-noc-16384.pow.csv,raw/c2-s7-noc-16384.clk.csv,,6.2.1
20260817T192711,2,8,mm-16384,mm,16384,ok,1786996306.569224,1786996355.144193,28008,48.001396,583.483,raw/c2-s8-mm-16384.pre.csv,raw/c2-s8-mm-16384.pow.csv,raw/c2-s8-mm-16384.clk.csv,,6.2.1
20260817T192711,2,9,sfpu-16384,sfpu,16384,ok,1786996356.239913,1786996404.816365,12544,48.000966,261.328,raw/c2-s9-sfpu-16384.pre.csv,raw/c2-s9-sfpu-16384.pow.csv,raw/c2-s9-sfpu-16384.clk.csv,,6.2.1
20260817T192711,2,10,noc-4096__control,noc,4096,ok,1786996405.953519,1786996454.523399,18937,48.000136,394.520,raw/c2-s10-noc-4096__control.pre.csv,raw/c2-s10-noc-4096__control.pow.csv,raw/c2-s10-noc-4096__control.clk.csv,,6.2.1
20260817T192711,3,0,baseline,baseline,0,ok,1786996455.901559,1786996495.925726,0,40,0,raw/c3-s0-baseline.pre.csv,raw/c3-s0-baseline.pow.csv,raw/c3-s0-baseline.clk.csv,,6.2.1
20260817T192711,3,1,idle-0,idle,0,ok,1786996497.036466,1786996545.608488,86339,48.000030,1798.728,raw/c3-s1-idle-0.pre.csv,raw/c3-s1-idle-0.pow.csv,raw/c3-s1-idle-0.clk.csv,,6.2.1
20260817T192711,3,2,rv-200000,rv,200000,ok,1786996546.737486,1786996595.302792,21893,48.001839,456.087,raw/c3-s2-rv-200000.pre.csv,raw/c3-s2-rv-200000.pow.csv,raw/c3-s2-rv-200000.clk.csv,,6.2.1
20260817T192711,3,3,noc-4096,noc,4096,ok,1786996596.927927,1786996645.504689,18935,48.000553,394.475,raw/c3-s3-noc-4096.pre.csv,raw/c3-s3-noc-4096.pow.csv,raw/c3-s3-noc-4096.clk.csv,,6.2.1
20260817T192711,3,4,mm-4096,mm,4096,ok,1786996646.894835,1786996695.468816,54741,48.000498,1140.426,raw/c3-s4-mm-4096.pre.csv,raw/c3-s4-mm-4096.pow.csv,raw/c3-s4-mm-4096.clk.csv,,6.2.1
20260817T192711,3,5,sfpu-4096,sfpu,4096,ok,1786996696.604473,1786996745.246792,34008,48.000888,708.487,raw/c3-s5-sfpu-4096.pre.csv,raw/c3-s5-sfpu-4096.pow.csv,raw/c3-s5-sfpu-4096.clk.csv,,6.2.1
20260817T192711,3,6,rv-800000,rv,800000,ok,1786996746.787844,1786996795.359127,6792,48.001940,141.494,raw/c3-s6-rv-800000.pre.csv,raw/c3-s6-rv-800000.pow.csv,raw/c3-s6-rv-800000.clk.csv,,6.2.1
20260817T192711,3,7,noc-16384,noc,16384,ok,1786996796.476484,1786996845.052370,5692,48.001272,118.580,raw/c3-s7-noc-16384.pre.csv,raw/c3-s7-noc-16384.pow.csv,raw/c3-s7-noc-16384.clk.csv,,6.2.1
20260817T192711,3,8,mm-16384,mm,16384,ok,1786996846.384225,1786996894.960129,27962,48.000141,582.540,raw/c3-s8-mm-16384.pre.csv,raw/c3-s8-mm-16384.pow.csv,raw/c3-s8-mm-16384.clk.csv,,6.2.1
20260817T192711,3,9,sfpu-16384,sfpu,16384,ok,1786996896.312571,1786996944.873211,12536,48.002366,261.154,raw/c3-s9-sfpu-16384.pre.csv,raw/c3-s9-sfpu-16384.pow.csv,raw/c3-s9-sfpu-16384.clk.csv,,6.2.1
20260817T192711,3,10,noc-4096__control,noc,4096,ok,1786996946.268403,1786996994.836943,18937,48.002456,394.501,raw/c3-s10-noc-4096__control.pre.csv,raw/c3-s10-noc-4096__control.pow.csv,raw/c3-s10-noc-4096__control.clk.csv,,6.2.1
20260817T192711,4,0,baseline,baseline,0,ok,1786996996.129823,1786997036.157661,0,40,0,raw/c4-s0-baseline.pre.csv,raw/c4-s0-baseline.pow.csv,raw/c4-s0-baseline.clk.csv,,6.2.1
20260817T192711,4,1,idle-0,idle,0,ok,1786997037.527897,1786997086.096459,86128,48.000004,1794.333,raw/c4-s1-idle-0.pre.csv,raw/c4-s1-idle-0.pow.csv,raw/c4-s1-idle-0.clk.csv,,6.2.1
20260817T192711,4,2,rv-200000,rv,200000,ok,1786997087.480445,1786997136.058603,21908,48.001665,456.401,raw/c4-s2-rv-200000.pre.csv,raw/c4-s2-rv-200000.pow.csv,raw/c4-s2-rv-200000.clk.csv,,6.2.1
20260817T192711,4,3,noc-4096,noc,4096,ok,1786997137.445695,1786997186.014751,18928,48.000808,394.327,raw/c4-s3-noc-4096.pre.csv,raw/c4-s3-noc-4096.pow.csv,raw/c4-s3-noc-4096.clk.csv,,6.2.1
20260817T192711,4,4,mm-4096,mm,4096,ok,1786997187.388862,1786997235.959511,54735,48.000112,1140.310,raw/c4-s4-mm-4096.pre.csv,raw/c4-s4-mm-4096.pow.csv,raw/c4-s4-mm-4096.clk.csv,,6.2.1
20260817T192711,4,5,sfpu-4096,sfpu,4096,ok,1786997237.020832,1786997285.592865,34091,48.001077,710.213,raw/c4-s5-sfpu-4096.pre.csv,raw/c4-s5-sfpu-4096.pow.csv,raw/c4-s5-sfpu-4096.clk.csv,,6.2.1
20260817T192711,4,6,rv-800000,rv,800000,ok,1786997286.942631,1786997335.517354,6795,48.006265,141.544,raw/c4-s6-rv-800000.pre.csv,raw/c4-s6-rv-800000.pow.csv,raw/c4-s6-rv-800000.clk.csv,,6.2.1
20260817T192711,4,7,noc-16384,noc,16384,ok,1786997337.144075,1786997385.732440,5692,48.005495,118.570,raw/c4-s7-noc-16384.pre.csv,raw/c4-s7-noc-16384.pow.csv,raw/c4-s7-noc-16384.clk.csv,,6.2.1
20260817T192711,4,8,mm-16384,mm,16384,ok,1786997387.357647,1786997435.931096,28017,48.001574,583.668,raw/c4-s8-mm-16384.pre.csv,raw/c4-s8-mm-16384.pow.csv,raw/c4-s8-mm-16384.clk.csv,,6.2.1
20260817T192711,4,9,sfpu-16384,sfpu,16384,ok,1786997437.043163,1786997485.640807,12545,48.003614,261.334,raw/c4-s9-sfpu-16384.pre.csv,raw/c4-s9-sfpu-16384.pow.csv,raw/c4-s9-sfpu-16384.clk.csv,,6.2.1
20260817T192711,4,10,noc-4096__control,noc,4096,ok,1786997486.783576,1786997535.376866,18923,48.000959,394.221,raw/c4-s10-noc-4096__control.pre.csv,raw/c4-s10-noc-4096__control.pow.csv,raw/c4-s10-noc-4096__control.clk.csv,,6.2.1
20260817T192711,5,0,baseline,baseline,0,ok,1786997537.006361,1786997577.032485,0,40,0,raw/c5-s0-baseline.pre.csv,raw/c5-s0-baseline.pow.csv,raw/c5-s0-baseline.clk.csv,,6.2.1
20260817T192711,5,1,idle-0,idle,0,ok,1786997578.397262,1786997626.972023,86298,48.000133,1797.870,raw/c5-s1-idle-0.pre.csv,raw/c5-s1-idle-0.pow.csv,raw/c5-s1-idle-0.clk.csv,,6.2.1
20260817T192711,5,2,rv-200000,rv,200000,ok,1786997628.352715,1786997676.925213,21886,48.002075,455.939,raw/c5-s2-rv-200000.pre.csv,raw/c5-s2-rv-200000.pow.csv,raw/c5-s2-rv-200000.clk.csv,,6.2.1
20260817T192711,5,3,noc-4096,noc,4096,ok,1786997678.293744,1786997726.844507,18923,48.001766,394.215,raw/c5-s3-noc-4096.pre.csv,raw/c5-s3-noc-4096.pow.csv,raw/c5-s3-noc-4096.clk.csv,,6.2.1
20260817T192711,5,4,mm-4096,mm,4096,ok,1786997728.360689,1786997776.932475,54793,48.000676,1141.505,raw/c5-s4-mm-4096.pre.csv,raw/c5-s4-mm-4096.pow.csv,raw/c5-s4-mm-4096.clk.csv,,6.2.1
20260817T192711,5,5,sfpu-4096,sfpu,4096,ok,1786997778.308229,1786997826.885010,34127,48.000906,710.966,raw/c5-s5-sfpu-4096.pre.csv,raw/c5-s5-sfpu-4096.pow.csv,raw/c5-s5-sfpu-4096.clk.csv,,6.2.1
20260817T192711,5,6,rv-800000,rv,800000,ok,1786997828.029419,1786997876.594880,6795,48.006171,141.544,raw/c5-s6-rv-800000.pre.csv,raw/c5-s6-rv-800000.pow.csv,raw/c5-s6-rv-800000.clk.csv,,6.2.1
20260817T192711,5,7,noc-16384,noc,16384,ok,1786997877.986488,1786997926.567876,5692,48.003579,118.574,raw/c5-s7-noc-16384.pre.csv,raw/c5-s7-noc-16384.pow.csv,raw/c5-s7-noc-16384.clk.csv,,6.2.1
20260817T192711,5,8,mm-16384,mm,16384,ok,1786997927.925412,1786997976.487301,27997,48.000918,583.260,raw/c5-s8-mm-16384.pre.csv,raw/c5-s8-mm-16384.pow.csv,raw/c5-s8-mm-16384.clk.csv,,6.2.1
20260817T192711,5,9,sfpu-16384,sfpu,16384,ok,1786997977.879506,1786998026.449064,12533,48.000512,261.101,raw/c5-s9-sfpu-16384.pre.csv,raw/c5-s9-sfpu-16384.pow.csv,raw/c5-s9-sfpu-16384.clk.csv,,6.2.1
20260817T192711,5,10,noc-4096__control,noc,4096,ok,1786998027.571823,1786998076.156892,18940,48.001659,394.570,raw/c5-s10-noc-4096__control.pre.csv,raw/c5-s10-noc-4096__control.pow.csv,raw/c5-s10-noc-4096__control.clk.csv,,6.2.1
