# nocreadbench arch=wormhole grid=8x8 num_tx=64 repeats=3
# every row is one timed burst; cycles_per_tx = cycles / num_tx
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end
dstspread,0,26,0,0,1,1,1,25,18,7,64,64,128,0,2994,46.781,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dstspread,0,27,0,0,1,1,1,25,18,7,64,64,512,0,2994,46.781,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,0,28,0,0,1,1,1,25,18,7,64,64,0,0,2992,46.750,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,0,29,0,0,1,1,1,25,18,7,64,64,0,64,2992,46.750,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,0,30,0,0,1,1,1,25,18,7,64,64,0,128,2996,46.812,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,0,31,0,0,1,1,1,25,18,7,64,64,0,512,2995,46.797,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,0,32,0,0,1,1,1,25,18,7,4,64,0,0,352,88.000,3,3,4,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,0,33,0,0,1,1,1,25,18,7,16,64,0,0,883,55.188,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,0,34,0,0,1,1,1,25,18,7,64,64,0,0,2994,46.781,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,0,35,0,0,1,1,1,25,18,7,128,64,0,0,5809,45.383,3,3,128,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
