# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=wormhole grid_x=10 grid_y=12 coord_space=noc0
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=1-1,1-2,1-3,1-4,1-5,1-7,1-8,1-9,1-10,2-1,2-2,2-10,3-1,3-3,3-9,4-1,4-4,6-1,6-2,6-5,7-1,7-3,7-7,8-1,8-3,8-8,9-1,9-9
# hops: 22 points, 22 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 20 points, 40 flows
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links
37,shared,2048B/share1,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,2048,5,22,1,0
37,shared,2048B/share1,1,2,7,0,9,1,9,1,2,2,3,3,3,3,0,0,1,0,64,2048,6,22,1,0
38,shared,2048B/share2,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,2048,5,22,2,0
38,shared,2048B/share2,1,2,3,0,4,1,4,1,6,2,8,3,8,3,0,0,1,0,64,2048,6,22,2,0
39,shared,2048B/share3,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,2048,5,22,3,0
39,shared,2048B/share3,1,2,2,0,3,1,3,1,5,2,7,3,7,3,0,0,1,0,64,2048,6,22,3,0
40,shared,8192B/share0,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,8192,5,22,0,0
40,shared,8192B/share0,1,2,5,0,7,1,7,1,0,2,1,3,1,3,0,0,1,0,64,8192,6,22,0,0
41,shared,8192B/share1,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,8192,5,22,1,0
41,shared,8192B/share1,1,2,7,0,9,1,9,1,2,2,3,3,3,3,0,0,1,0,64,8192,6,22,1,0
42,shared,8192B/share2,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,8192,5,22,2,0
42,shared,8192B/share2,1,2,3,0,4,1,4,1,6,2,8,3,8,3,0,0,1,0,64,8192,6,22,2,0
43,shared,8192B/share3,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,8192,5,22,3,0
43,shared,8192B/share3,1,2,2,0,3,1,3,1,5,2,7,3,7,3,0,0,1,0,64,8192,6,22,3,0
44,shared,16384B/share0,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,16384,5,22,0,0
44,shared,16384B/share0,1,2,5,0,7,1,7,1,0,2,1,3,1,3,0,0,1,0,64,16384,6,22,0,0
45,shared,16384B/share1,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,16384,5,22,1,0
45,shared,16384B/share1,1,2,7,0,9,1,9,1,2,2,3,3,3,3,0,0,1,0,64,16384,6,22,1,0
46,shared,16384B/share2,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,16384,5,22,2,0
46,shared,16384B/share2,1,2,3,0,4,1,4,1,6,2,8,3,8,3,0,0,1,0,64,16384,6,22,2,0
47,shared,16384B/share3,0,2,1,0,2,1,2,1,4,1,6,2,6,2,0,0,1,0,64,16384,5,22,3,0
47,shared,16384B/share3,1,2,2,0,3,1,3,1,5,2,7,3,7,3,0,0,1,0,64,16384,6,22,3,0
