session,cycle,slot,label,arm,inner,status,launches,wall_s,launches_per_s,power_w,power_sd_w,samples,attempts,sample_failures,pre_idle_w,pre_idle_samples,delta_w,aiclk_mhz,temp_c,sysfs_aiclk_mean,sysfs_aiclk_min,sysfs_aiclk_max,sysfs_aiclk_drift_pct,sysfs_arcclk_mean,therm_trip_delta,clock_samples,power_bracket_w,bracket_lag_s,bracket_samples,tt_smi_version,note
20260813T134114,2,4,mm-4096,mm,4096,ok,29618,48.001067,617.028,68.3636,0.8594,33,33,0,39.0000,2,29.3636,1350.0,54.3,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,2,5,sfpu-4096,sfpu,4096,ok,23846,48.000562,496.786,68.3235,0.7675,34,34,0,39.0000,2,29.3235,1349.8,54.5,1349.9,1343.0,1350.0,0.519,800.0,0,137,,,0,6.2.0,
20260813T134114,2,6,rv-800000,rv,800000,ok,8630,48.005087,179.773,68.3529,0.6458,34,34,0,39.0000,2,29.3529,1350.0,54.5,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,2,7,noc-16384,noc,16384,ok,6416,48.007222,133.647,68.3235,0.7270,34,34,0,39.0000,2,29.3235,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,2,8,mm-16384,mm,16384,ok,21467,48.001881,447.212,68.6471,1.0977,34,34,0,39.0000,2,29.6471,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,139,,,0,6.2.0,
20260813T134114,2,9,sfpu-16384,sfpu,16384,ok,12650,48.000331,263.540,68.3824,0.7392,34,34,0,39.0000,2,29.3824,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,2,10,noc-4096__control,noc,4096,ok,16366,48.002688,340.939,68.2647,0.7511,34,34,0,39.0000,2,29.2647,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,3,0,baseline,baseline,0,ok,0,40,0,39.4167,1.5012,24,24,0,40.5000,2,-1.0833,800.0,46.7,800.0,800.0,800.0,0.000,800.0,0,96,,,0,6.2.0,
20260813T134114,3,1,idle-0,idle,0,ok,34091,48.001043,710.214,66.7647,0.8549,34,34,0,37.0000,2,29.7647,1350.0,50.6,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,3,2,rv-200000,rv,200000,ok,19572,48.000710,407.744,67.3235,0.5888,34,34,0,39.0000,2,28.3235,1350.0,53.0,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,3,3,noc-4096,noc,4096,ok,16009,48.001845,333.508,67.7714,0.9103,35,35,0,40.5000,2,27.2714,1350.0,53.8,1349.9,1343.0,1350.0,0.519,800.0,0,138,,,0,6.2.0,
20260813T134114,3,4,mm-4096,mm,4096,ok,29468,48.000900,613.905,68.4706,0.8956,34,34,0,39.0000,2,29.4706,1350.0,54.3,1349.9,1343.0,1350.0,0.519,800.0,0,137,,,0,6.2.0,
20260813T134114,3,5,sfpu-4096,sfpu,4096,ok,23769,48.000073,495.187,68.2059,0.6866,34,34,0,39.0000,2,29.2059,1350.0,54.5,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,3,6,rv-800000,rv,800000,ok,8628,48.000665,179.748,68.3750,0.8707,32,32,0,39.0000,2,29.3750,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,135,,,0,6.2.0,
20260813T134114,3,7,noc-16384,noc,16384,ok,6415,48.001389,133.642,68.4412,0.7046,34,34,0,39.0000,2,29.4412,1349.8,54.5,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,3,8,mm-16384,mm,16384,ok,21435,48.001106,446.552,69.2121,0.8572,33,33,0,39.0000,2,30.2121,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,3,9,sfpu-16384,sfpu,16384,ok,12566,48.001928,261.781,68.5714,0.6081,35,35,0,39.0000,2,29.5714,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,3,10,noc-4096__control,noc,4096,ok,16305,48.001066,339.680,68.2941,0.6755,34,34,0,39.0000,2,29.2941,1350.0,54.8,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,4,0,baseline,baseline,0,ok,0,40,0,39.0435,1.2605,23,23,0,39.0000,2,0.0435,800.0,46.8,800.0,800.0,800.0,0.000,800.0,0,96,,,0,6.2.0,
20260813T134114,4,1,idle-0,idle,0,ok,33361,48.001546,694.998,66.7143,0.7101,35,35,0,38.0000,2,28.7143,1350.0,50.7,1350.0,1350.0,1350.0,0.000,800.0,0,140,,,0,6.2.0,
20260813T134114,4,2,rv-200000,rv,200000,ok,19641,48.001964,409.171,67.9091,0.9139,33,33,0,40.0000,2,27.9091,1350.0,53.2,1350.0,1350.0,1350.0,0.000,800.0,0,136,,,0,6.2.0,
20260813T134114,4,3,noc-4096,noc,4096,ok,16377,48.000447,341.184,68.2353,0.8896,34,34,0,39.0000,2,29.2353,1350.0,54.2,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,4,4,mm-4096,mm,4096,ok,29520,48.000446,614.994,68.6471,0.8121,34,34,0,40.5000,2,28.1471,1350.0,54.4,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,4,5,sfpu-4096,sfpu,4096,ok,23832,48.000687,496.493,68.4706,0.7876,34,34,0,39.0000,2,29.4706,1350.0,54.5,1349.9,1343.0,1350.0,0.519,800.0,0,138,,,0,6.2.0,
20260813T134114,4,6,rv-800000,rv,800000,ok,8581,48.004294,178.755,68.2059,0.7699,34,34,0,40.5000,2,27.7059,1350.0,54.5,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,4,7,noc-16384,noc,16384,ok,6421,48.004190,133.759,68.2059,0.7294,34,34,0,39.0000,2,29.2059,1350.0,54.5,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,4,8,mm-16384,mm,16384,ok,22267,48.001312,463.883,69.2353,1.2075,34,34,0,40.5000,2,28.7353,1350.0,54.8,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,4,9,sfpu-16384,sfpu,16384,ok,12643,48.001745,263.386,68.3714,0.5470,35,35,0,39.0000,2,29.3714,1350.0,54.8,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,4,10,noc-4096__control,noc,4096,ok,16422,48.000516,342.121,68.4286,0.6981,35,35,0,39.0000,2,29.4286,1350.0,54.8,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,5,0,baseline,baseline,0,ok,0,40,0,38.9583,1.2676,24,24,0,40.5000,2,-1.5417,800.0,46.9,800.0,800.0,800.0,0.000,800.0,0,96,,,0,6.2.0,
20260813T134114,5,1,idle-0,idle,0,ok,34572,48.000360,720.245,66.8286,0.7470,35,35,0,38.0000,2,28.8286,1350.0,50.9,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,5,2,rv-200000,rv,200000,ok,19560,48.000454,407.496,67.4706,0.7065,34,34,0,39.5000,2,27.9706,1350.0,53.3,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,5,3,noc-4096,noc,4096,ok,16455,48.002812,342.792,67.7429,0.8859,35,35,0,42.0000,2,25.7429,1350.0,54.1,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,5,4,mm-4096,mm,4096,ok,29486,48.001369,614.274,68.2647,0.9632,34,34,0,40.0000,2,28.2647,1350.0,54.3,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,5,5,sfpu-4096,sfpu,4096,ok,23838,48.001399,496.611,68.2857,0.7886,35,35,0,39.0000,2,29.2857,1350.0,54.5,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,5,6,rv-800000,rv,800000,ok,8618,48.000572,179.540,67.9143,0.8869,35,35,0,39.0000,2,28.9143,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,5,7,noc-16384,noc,16384,ok,6416,48.003071,133.658,68.3429,0.5392,35,35,0,40.5000,2,27.8429,1350.0,54.8,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,5,8,mm-16384,mm,16384,ok,21402,48.000140,445.874,68.8000,1.1061,35,35,0,39.0000,2,29.8000,1350.0,54.8,1349.9,1343.0,1350.0,0.519,800.0,0,138,,,0,6.2.0,
20260813T134114,5,9,sfpu-16384,sfpu,16384,ok,12664,48.002058,263.822,68.3429,0.5913,35,35,0,39.0000,2,29.3429,1350.0,54.8,1349.9,1343.0,1350.0,0.519,800.0,0,138,,,0,6.2.0,
20260813T134114,5,10,noc-4096__control,noc,4096,ok,16447,48.000135,342.645,68.5000,0.5641,34,34,0,39.0000,2,29.5000,1350.0,54.8,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
