session,cycle,slot,label,arm,inner,status,start_s,end_s,launches,wall_s,launches_per_s,pre_file,pow_file,clk_file,post_file,tt_smi_version
20260813T134114,2,3,noc-4096,noc,4096,ok,1786626176.698599,1786626227.106955,16324,48.002000,340.069,raw/c2-s3-noc-4096.pre.csv,raw/c2-s3-noc-4096.pow.csv,raw/c2-s3-noc-4096.clk.csv,,6.2.0
20260813T134114,2,4,mm-4096,mm,4096,ok,1786626229.589159,1786626279.875074,29618,48.001067,617.028,raw/c2-s4-mm-4096.pre.csv,raw/c2-s4-mm-4096.pow.csv,raw/c2-s4-mm-4096.clk.csv,,6.2.0
20260813T134114,2,5,sfpu-4096,sfpu,4096,ok,1786626282.202134,1786626332.489137,23846,48.000562,496.786,raw/c2-s5-sfpu-4096.pre.csv,raw/c2-s5-sfpu-4096.pow.csv,raw/c2-s5-sfpu-4096.clk.csv,,6.2.0
20260813T134114,2,6,rv-800000,rv,800000,ok,1786626335.059519,1786626385.485113,8630,48.005087,179.773,raw/c2-s6-rv-800000.pre.csv,raw/c2-s6-rv-800000.pow.csv,raw/c2-s6-rv-800000.clk.csv,,6.2.0
20260813T134114,2,7,noc-16384,noc,16384,ok,1786626388.695683,1786626439.101183,6416,48.007222,133.647,raw/c2-s7-noc-16384.pre.csv,raw/c2-s7-noc-16384.pow.csv,raw/c2-s7-noc-16384.clk.csv,,6.2.0
20260813T134114,2,8,mm-16384,mm,16384,ok,1786626442.256724,1786626492.946822,21467,48.001881,447.212,raw/c2-s8-mm-16384.pre.csv,raw/c2-s8-mm-16384.pow.csv,raw/c2-s8-mm-16384.clk.csv,,6.2.0
20260813T134114,2,9,sfpu-16384,sfpu,16384,ok,1786626496.184560,1786626546.627624,12650,48.000331,263.540,raw/c2-s9-sfpu-16384.pre.csv,raw/c2-s9-sfpu-16384.pow.csv,raw/c2-s9-sfpu-16384.clk.csv,,6.2.0
20260813T134114,2,10,noc-4096__control,noc,4096,ok,1786626549.347491,1786626599.717231,16366,48.002688,340.939,raw/c2-s10-noc-4096__control.pre.csv,raw/c2-s10-noc-4096__control.pow.csv,raw/c2-s10-noc-4096__control.clk.csv,,6.2.0
20260813T134114,3,0,baseline,baseline,0,ok,1786626602.411482,1786626642.454463,0,40,0,raw/c3-s0-baseline.pre.csv,raw/c3-s0-baseline.pow.csv,raw/c3-s0-baseline.clk.csv,,6.2.0
20260813T134114,3,1,idle-0,idle,0,ok,1786626645.258682,1786626695.722168,34091,48.001043,710.214,raw/c3-s1-idle-0.pre.csv,raw/c3-s1-idle-0.pow.csv,raw/c3-s1-idle-0.clk.csv,,6.2.0
20260813T134114,3,2,rv-200000,rv,200000,ok,1786626698.566803,1786626748.937603,19572,48.000710,407.744,raw/c3-s2-rv-200000.pre.csv,raw/c3-s2-rv-200000.pow.csv,raw/c3-s2-rv-200000.clk.csv,,6.2.0
20260813T134114,3,3,noc-4096,noc,4096,ok,1786626752.125474,1786626802.534572,16009,48.001845,333.508,raw/c3-s3-noc-4096.pre.csv,raw/c3-s3-noc-4096.pow.csv,raw/c3-s3-noc-4096.clk.csv,,6.2.0
20260813T134114,3,4,mm-4096,mm,4096,ok,1786626805.753878,1786626856.039014,29468,48.000900,613.905,raw/c3-s4-mm-4096.pre.csv,raw/c3-s4-mm-4096.pow.csv,raw/c3-s4-mm-4096.clk.csv,,6.2.0
20260813T134114,3,5,sfpu-4096,sfpu,4096,ok,1786626858.771635,1786626909.041191,23769,48.000073,495.187,raw/c3-s5-sfpu-4096.pre.csv,raw/c3-s5-sfpu-4096.pow.csv,raw/c3-s5-sfpu-4096.clk.csv,,6.2.0
