# dramratebench arch=blackhole magic=0x44524232 grid=12x10 clock_mhz=1350 banks=8
# bytes_per_reader=1048576 tx_bytes=4096 num_tx=256 repeats=3 samecore=absent-on-this-part
# agg_bytes_per_cycle = num_readers * bytes_per_reader / max(t1-t0); each
# reader differences its OWN clock, so a per-core clock epoch cancels
# write region at bank-local +0x01000000; POISON 0xBADDBADD re-laid before EVERY
# write point. witness_ok/stray_writes are -1 in a read row: not zero
# verified, but 'the host did not look, because for a read the DEVICE is
# the witness'. A write row is good only at witness_ok == num_readers AND
# stray_writes == 0 AND tags_ok == num_readers.
arm,repeat,point,num_readers,num_tx,tx_bytes,bytes_per_reader,total_bytes,max_cycles,min_cycles,agg_bytes_per_cycle,agg_gb_per_s,per_reader_bytes_per_cycle,distinct_banks,distinct_dram_cores,tags_ok,max_barrier_spins,measured_readers,direction,witness_ok,stray_writes
onechan-write,0,0,1,256,4096,1048576,1048576,22313,22313,46.9939,63.442,46.9939,1,1,1,0,1,write,1,0
fanchan-write,0,1,1,256,4096,1048576,1048576,22292,22292,47.0382,63.502,47.0382,1,1,1,0,1,write,1,0
onechan-write,0,2,12,256,4096,1048576,12582912,267146,45090,47.1013,63.587,3.9251,1,1,12,85197,12,write,12,0
fanchan-write,0,3,12,256,4096,1048576,12582912,198044,35763,63.5359,85.774,5.2947,8,8,12,84992,12,write,12,0
onechan-write,0,4,48,256,4096,1048576,50331648,1078340,90516,46.6751,63.011,0.9724,1,1,48,100433,48,write,48,0
fanchan-write,0,5,48,256,4096,1048576,50331648,449914,67506,111.8695,151.024,2.3306,8,8,48,100500,48,write,48,0
onechan-write,0,6,120,256,4096,1048576,125829120,2692202,93545,46.7384,63.097,0.3895,1,1,120,103964,120,write,120,0
fanchan-write,0,7,120,256,4096,1048576,125829120,962307,75578,130.7578,176.523,1.0896,8,8,120,103666,120,write,120,0
onechan-write,1,0,1,256,4096,1048576,1048576,22336,22336,46.9456,63.377,46.9456,1,1,1,0,1,write,1,0
fanchan-write,1,1,1,256,4096,1048576,1048576,22292,22292,47.0382,63.502,47.0382,1,1,1,0,1,write,1,0
onechan-write,1,2,12,256,4096,1048576,12582912,267276,45155,47.0783,63.556,3.9232,1,1,12,85515,12,write,12,0
fanchan-write,1,3,12,256,4096,1048576,12582912,198730,35722,63.3166,85.477,5.2764,8,8,12,85414,12,write,12,0
onechan-write,1,4,48,256,4096,1048576,50331648,1080787,92931,46.5694,62.869,0.9702,1,1,48,100015,48,write,48,0
fanchan-write,1,5,48,256,4096,1048576,50331648,450219,67339,111.7937,150.921,2.3290,8,8,48,100014,48,write,48,0
onechan-write,1,6,120,256,4096,1048576,125829120,2692270,91067,46.7372,63.095,0.3895,1,1,120,102803,120,write,120,0
fanchan-write,1,7,120,256,4096,1048576,125829120,977217,76762,128.7627,173.830,1.0730,8,8,120,97487,120,write,120,0
onechan-write,2,0,1,256,4096,1048576,1048576,22337,22337,46.9435,63.374,46.9435,1,1,1,0,1,write,1,0
fanchan-write,2,1,1,256,4096,1048576,1048576,22292,22292,47.0382,63.502,47.0382,1,1,1,0,1,write,1,0
onechan-write,2,2,12,256,4096,1048576,12582912,267414,45110,47.0541,63.523,3.9212,1,1,12,76759,12,write,12,0
fanchan-write,2,3,12,256,4096,1048576,12582912,198746,35771,63.3115,85.471,5.2760,8,8,12,80220,12,write,12,0
onechan-write,2,4,48,256,4096,1048576,50331648,1085655,91423,46.3606,62.587,0.9658,1,1,48,89597,48,write,48,0
fanchan-write,2,5,48,256,4096,1048576,50331648,455682,67058,110.4534,149.112,2.3011,8,8,48,87432,48,write,48,0
onechan-write,2,6,120,256,4096,1048576,125829120,2699207,90972,46.6171,62.933,0.3885,1,1,120,87555,120,write,120,0
fanchan-write,2,7,120,256,4096,1048576,125829120,968938,77091,129.8629,175.315,1.0822,8,8,120,83227,120,write,120,0
