t,aiclk,arcclk,axiclk,therm_trip
1786627956.228433,800,800,960,0
1786627956.480564,800,800,960,0
1786627956.731087,800,800,960,0
1786627956.981609,1350,800,960,0
1786627957.232078,1350,800,960,0
1786627957.482603,1350,800,960,0
1786627957.733083,1350,800,960,0
1786627957.983603,1350,800,960,0
1786627958.234084,1350,800,960,0
1786627958.484576,1350,800,960,0
1786627958.735012,1350,800,960,0
1786627958.985505,1350,800,960,0
1786627959.235957,1350,800,960,0
1786627959.486434,1350,800,960,0
1786627959.736861,1350,800,960,0
1786627959.987346,1350,800,960,0
1786627960.237801,1350,800,960,0
1786627960.488257,1350,800,960,0
1786627960.738773,1350,800,960,0
1786627960.989229,1350,800,960,0
1786627961.239760,1350,800,960,0
1786627961.490213,1350,800,960,0
1786627961.740696,1350,800,960,0
1786627961.991183,1350,800,960,0
1786627962.241737,1350,800,960,0
1786627962.492157,1350,800,960,0
1786627962.742665,1350,800,960,0
1786627962.993087,1350,800,960,0
1786627963.243629,1350,800,960,0
1786627963.494050,1350,800,960,0
1786627963.744542,1350,800,960,0
1786627963.994967,1350,800,960,0
1786627964.245512,1350,800,960,0
1786627964.495940,1350,800,960,0
1786627964.746478,1350,800,960,0
1786627964.996978,1350,800,960,0
1786627965.247507,1350,800,960,0
1786627965.497957,1350,800,960,0
1786627965.748438,1350,800,960,0
1786627965.998865,1350,800,960,0
1786627966.249293,1350,800,960,0
1786627966.499736,1350,800,960,0
1786627966.750205,1350,800,960,0
1786627967.000756,1350,800,960,0
1786627967.251180,1350,800,960,0
1786627967.501671,1350,800,960,0
1786627967.752099,1350,800,960,0
1786627968.002586,1350,800,960,0
1786627968.253008,1350,800,960,0
1786627968.503503,1350,800,960,0
1786627968.753957,1350,800,960,0
1786627969.004450,1350,800,960,0
1786627969.254874,1350,800,960,0
1786627969.505318,1350,800,960,0
1786627969.755742,1350,800,960,0
1786627970.006164,1350,800,960,0
1786627970.256649,1350,800,960,0
1786627970.507114,1350,800,960,0
1786627970.757595,1350,800,960,0
1786627971.008044,1350,800,960,0
1786627971.258525,1350,800,960,0
1786627971.508982,1350,800,960,0
1786627971.759469,1350,800,960,0
1786627972.009949,1350,800,960,0
1786627972.260496,1350,800,960,0
1786627972.510957,1350,800,960,0
1786627972.761467,1350,800,960,0
1786627973.011895,1350,800,960,0
1786627973.262381,1350,800,960,0
1786627973.512844,1350,800,960,0
1786627973.763270,1350,800,960,0
1786627974.013746,1350,800,960,0
1786627974.264169,1350,800,960,0
1786627974.514695,1350,800,960,0
1786627974.765121,1350,800,960,0
1786627975.015607,1350,800,960,0
1786627975.266030,1350,800,960,0
1786627975.516580,1350,800,960,0
1786627975.767008,1350,800,960,0
1786627976.017488,1350,800,960,0
1786627976.267910,1350,800,960,0
1786627976.518382,1350,800,960,0
1786627976.768836,1350,800,960,0
1786627977.019257,1350,800,960,0
1786627977.269807,1350,800,960,0
1786627977.520247,1350,800,960,0
1786627977.770746,1350,800,960,0
1786627978.021206,1350,800,960,0
1786627978.271693,1350,800,960,0
1786627978.522113,1350,800,960,0
1786627978.772622,1350,800,960,0
1786627979.023043,1350,800,960,0
1786627979.273528,1350,800,960,0
1786627979.523978,1350,800,960,0
1786627979.774480,1350,800,960,0
1786627980.024900,1350,800,960,0
1786627980.275456,1350,800,960,0
