phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786625239.603542,1786625240.897468,1786625240.250505,0.649493,1,82.0000,0.8600,96.0000,1350.0000,53.9000,
run,1,1786625240.897582,1786625241.907681,1786625241.402631,1.801619,1,67.0000,0.8600,78.0000,1350.0000,53.5000,
run,2,1786625241.907799,1786625242.937901,1786625242.422850,2.821838,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,3,1786625242.937995,1786625243.956742,1786625243.447369,3.846356,1,67.0000,0.8600,78.0000,1350.0000,53.7000,
run,4,1786625243.956952,1786625244.970651,1786625244.463801,4.862789,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,5,1786625244.970700,1786625245.988486,1786625245.479593,5.878580,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,6,1786625245.988725,1786625246.977524,1786625246.483124,6.882112,1,69.0000,0.8600,81.0000,1350.0000,54.0000,
run,7,1786625246.977570,1786625247.970500,1786625247.474035,7.873022,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,8,1786625247.970613,1786625248.961597,1786625248.466105,8.865093,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,9,1786625248.961808,1786625249.973497,1786625249.467652,9.866640,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,10,1786625249.973548,1786625250.978587,1786625250.476068,10.875055,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,11,1786625250.978697,1786625251.956631,1786625251.467664,11.866652,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,12,1786625251.956681,1786625252.943769,1786625252.450225,12.849212,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,13,1786625252.943830,1786625253.936787,1786625253.440309,13.839296,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,14,1786625253.936833,1786625254.959528,1786625254.448181,14.847168,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,15,1786625254.959765,1786625255.991609,1786625255.475688,15.874675,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,16,1786625255.991723,1786625256.965666,1786625256.478694,16.877682,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,17,1786625256.965775,1786625257.959719,1786625257.462747,17.861735,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,18,1786625257.959826,1786625258.948766,1786625258.454296,18.853283,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,19,1786625258.948875,1786625259.957988,1786625259.453431,19.852419,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,20,1786625259.958228,1786625260.991881,1786625260.475055,20.874042,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,21,1786625260.991995,1786625262.003665,1786625261.497830,21.896818,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,22,1786625262.003712,1786625262.994251,1786625262.498981,22.897969,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,23,1786625262.994431,1786625263.985399,1786625263.489915,23.888903,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,24,1786625263.985513,1786625265.005186,1786625264.495350,24.894337,1,67.0000,0.8600,78.0000,1350.0000,54.3000,
run,25,1786625265.005482,1786625266.039902,1786625265.522692,25.921679,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,26,1786625266.040015,1786625267.067850,1786625266.553933,26.952920,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,27,1786625267.067957,1786625268.060606,1786625267.564281,27.963269,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,28,1786625268.060714,1786625269.050686,1786625268.555700,28.954687,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,29,1786625269.050797,1786625270.060838,1786625269.555817,29.954805,1,68.0000,0.8600,79.0000,1350.0000,54.4000,
run,30,1786625270.061077,1786625271.097441,1786625270.579259,30.978246,1,67.0000,0.8600,78.0000,1350.0000,54.8000,
run,31,1786625271.097556,1786625272.130272,1786625271.613914,32.012901,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,32,1786625272.130487,1786625273.124924,1786625272.627706,33.026693,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,33,1786625273.125037,1786625274.147405,1786625273.636221,34.035208,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,34,1786625274.147508,1786625275.138888,1786625274.643198,35.042186,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,35,1786625275.139124,1786625276.156134,1786625275.647629,36.046616,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,36,1786625276.156238,1786625277.183236,1786625276.669737,37.068724,1,67.0000,0.8600,78.0000,1350.0000,54.9000,
run,37,1786625277.183346,1786625278.198663,1786625277.691004,38.089992,1,68.0000,0.8600,79.0000,1350.0000,54.4000,
run,38,1786625278.198710,1786625279.221267,1786625278.709989,39.108976,1,67.0000,0.8600,78.0000,1350.0000,54.8000,
run,39,1786625279.221448,1786625280.234470,1786625279.727959,40.126947,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,40,1786625280.234686,1786625281.252898,1786625280.743793,41.142780,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,41,1786625281.253006,1786625282.277609,1786625281.765307,42.164295,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,42,1786625282.277719,1786625283.309738,1786625282.793729,43.192716,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,43,1786625283.309844,1786625284.311726,1786625283.810785,44.209773,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,44,1786625284.311834,1786625285.313152,1786625284.812493,45.211481,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,45,1786625285.313467,1786625286.333743,1786625285.823605,46.222593,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,46,1786625286.333791,1786625287.362112,1786625286.847951,47.246939,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,47,1786625287.362220,1786625288.364830,1786625287.863525,48.262512,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,48,1786625288.364935,1786625289.347382,1786625288.856159,49.255146,1,42.0000,0.7400,57.0000,800.0000,53.9000,
run,49,1786625289.347493,1786625290.346123,1786625289.846808,50.245795,1,44.0000,0.7400,60.0000,800.0000,52.3000,
