# nocreadbench arch=wormhole grid=8x8 num_tx=64 repeats=3 mode=stateful sim=0
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
dist,0,11,0,0,1,1,1,23,18,5,64,64,0,0,2025,31.641,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1712,0x5A5A1313
dist,0,12,0,0,1,1,1,24,18,6,64,64,0,0,2025,31.641,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1812,0x5A5A1313
dist,0,13,0,0,1,1,1,25,18,7,64,64,0,0,2025,31.641,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
dist,0,14,0,0,1,1,1,18,19,1,64,64,0,0,2042,31.906,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1213,0x5A5A1313
dist,0,15,0,0,1,1,1,18,20,2,64,64,0,0,2041,31.891,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1214,0x5A5A1313
dist,0,16,0,0,1,1,1,18,21,3,64,64,0,0,2041,31.891,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1215,0x5A5A1313
dist,0,17,0,0,1,1,1,18,22,4,64,64,0,0,2048,32.000,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1216,0x5A5A1313
dist,0,18,0,0,1,1,1,18,23,5,64,64,0,0,2040,31.875,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1217,0x5A5A1313
dist,0,19,0,0,1,1,1,18,24,6,64,64,0,0,2042,31.906,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1218,0x5A5A1313
dist,0,20,0,0,1,1,1,18,25,7,64,64,0,0,2051,32.047,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1219,0x5A5A1313
