run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
23,hops,diag+13-10,0,1,0,0,1,2,1,2,8,8,11,10,13,10,0,0,1,0,64,4096,20,29,0,0,1,4619,767959018,767963637,3,1,2,0
24,size,64B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,64,2,29,0,0,1,2539,772265203,772267742,4,1,2,0
25,size,512B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,512,2,29,0,0,1,2547,776302783,776305330,4,1,2,0
26,size,4096B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,4096,2,29,0,0,1,4627,780437483,780442110,3,1,2,0
27,size,16384B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,16384,2,29,0,0,1,17267,784480166,784497433,3,1,2,0
28,readport,1flow,0,1,1,9,2,11,2,11,0,0,1,2,1,2,0,0,1,1,64,8192,19,29,0,0,1,8874,788808274,788817148,14,2,11,0
29,readport,2flows,0,2,1,9,2,11,2,11,0,0,1,2,1,2,0,0,1,1,64,8192,19,29,1,3,1,16805,794476564,794493369,22,2,11,0
29,readport,2flows,1,2,2,8,3,10,3,10,0,0,1,2,1,2,0,0,1,1,64,8192,19,29,1,3,1,17221,794476670,794493891,1189610,3,10,0
30,shared,64B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,0,0,1,2548,801127234,801129782,21,15,2,0
30,shared,64B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,64,10,29,0,0,1,2557,801127295,801129852,1177341,6,2,0
31,shared,64B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,1,0,1,2535,807747376,807749911,21,15,2,0
31,shared,64B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,64,10,29,1,0,1,2557,807747436,807749993,1180259,5,2,0
32,shared,64B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,2,0,1,2535,814447884,814450419,21,15,2,0
32,shared,64B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,64,10,29,2,0,1,2558,814447939,814450497,1168605,4,2,0
33,shared,64B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,3,0,1,2534,821107968,821110502,21,15,2,0
33,shared,64B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,64,10,29,3,0,1,2556,821108013,821110569,1168329,3,2,0
34,shared,64B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,4,0,1,2534,827715876,827718410,21,15,2,0
34,shared,64B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,64,10,29,4,0,1,2556,3661865584,3661868140,1175771,11,2,0
35,shared,64B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,5,0,1,2534,834297141,834299675,21,15,2,0
35,shared,64B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,64,10,29,5,0,1,2556,834297263,834299819,1184132,12,2,0
36,shared,64B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,6,0,1,2534,841095148,841097682,21,15,2,0
36,shared,64B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,64,10,29,6,0,1,2557,841095283,841097840,1178996,13,2,0
