# nocreadbench arch=blackhole grid=12x10 num_tx=64 repeats=3 mode=stateful sim=0
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
size,0,0,0,0,1,2,1,14,2,13,64,64,0,0,2083,32.547,197,197,64,0x00000000,0x00000000,192,5,4,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0E02,0x5A5A0203
size,0,1,0,0,1,2,1,14,2,13,64,128,0,0,2079,32.484,197,197,64,0x00000000,0x00000000,192,5,4,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0E02,0x5A5A0203
size,0,2,0,0,1,2,1,14,2,13,64,256,0,0,2079,32.484,197,197,64,0x00000000,0x00000000,192,5,4,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0E02,0x5A5A0203
size,0,3,0,0,1,2,1,14,2,13,64,512,0,0,2079,32.484,197,197,64,0x00000000,0x00000000,192,5,4,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0E02,0x5A5A0203
size,0,4,0,0,1,2,1,14,2,13,64,1024,0,0,2087,32.609,197,197,64,0x00000000,0x00000000,192,5,5,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0E02,0x5A5A0203
size,0,5,0,0,1,2,1,14,2,13,64,2048,0,0,2431,37.984,197,197,64,0x00000000,0x00000000,192,5,5,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0E02,0x5A5A0203
size,0,6,0,0,1,2,1,14,2,13,64,4096,0,0,4527,70.734,218,218,64,0x00000000,0x00000000,192,26,30,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0E02,0x5A5A0203
dist,0,7,0,0,1,2,1,2,2,1,64,64,0,0,2071,32.359,197,197,64,0x00000000,0x00000000,192,5,4,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0202,0x5A5A0203
dist,0,8,0,0,1,2,1,3,2,2,64,64,0,0,2071,32.359,197,197,64,0x00000000,0x00000000,192,5,4,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0302,0x5A5A0203
dist,0,9,0,0,1,2,1,4,2,3,64,64,0,0,2071,32.359,197,197,64,0x00000000,0x00000000,192,5,4,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0402,0x5A5A0203
dist,0,10,0,0,1,2,1,5,2,4,64,64,0,0,2071,32.359,197,197,64,0x00000000,0x00000000,192,5,4,0,0,0x00000000,0x00000000,0x00000000,stateful,0x5A5A0203,0x5A5A0502,0x5A5A0203
