# nocreadbench arch=blackhole grid=12x10 num_tx=64 repeats=3 mode=stateless sim=0
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
dist,0,15,0,0,1,2,1,12,2,11,64,64,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0C02,0x5A5A0C02,0x5A5A0203
dist,0,16,0,0,1,2,1,13,2,12,64,64,0,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0D02,0x5A5A0D02,0x5A5A0203
dist,0,17,0,0,1,2,1,14,2,13,64,64,0,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
dist,0,18,0,0,1,2,1,1,3,1,64,64,0,0,3193,49.891,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0103,0x5A5A0103,0x5A5A0203
dist,0,19,0,0,1,2,1,1,4,2,64,64,0,0,3193,49.891,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0104,0x5A5A0104,0x5A5A0203
dist,0,20,0,0,1,2,1,1,5,3,64,64,0,0,3193,49.891,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0105,0x5A5A0105,0x5A5A0203
dist,0,21,0,0,1,2,1,1,6,4,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0106,0x5A5A0106,0x5A5A0203
dist,0,22,0,0,1,2,1,1,7,5,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0107,0x5A5A0107,0x5A5A0203
dist,0,23,0,0,1,2,1,1,8,6,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0108,0x5A5A0108,0x5A5A0203
dist,0,24,0,0,1,2,1,1,9,7,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0109,0x5A5A0109,0x5A5A0203
