# nocreadbench arch=wormhole grid=8x9 num_tx=4 repeats=1 mode=stateless sim=1 dram=1 noc_events=0 congruence=32
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# src_kind/src_base/dst_base/landed are what the KERNEL ran, not what it
# was asked to: landed is the first word the TIMED burst put at dst_base, and
# a row is a DRAM read iff landed == sig_src with sig_src in the 0xD4A5....
# half of the signature space. landed_ok is -1 where the landing address is
# walked or the sources cycled, meaning NOT LOOKED AT rather than not verified
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness,src_kind,src_base,dst_base,landed,landed_ok
bigburst,0,16,0,0,1,1,1,9,1,8,4,4096,0,0,694,173.500,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,17,0,0,1,1,1,9,1,8,16,4096,0,0,2230,139.375,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,18,0,0,1,1,1,9,1,8,64,4096,0,0,8374,130.844,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,19,0,0,1,1,1,9,1,8,128,4096,0,0,16566,129.422,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
dramburst,0,20,0,0,1,1,1,0,11,19,4,2048,0,0,734,183.500,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramburst,0,21,0,0,1,1,1,0,11,19,16,2048,0,0,1766,110.375,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramburst,0,22,0,0,1,1,1,0,11,19,64,2048,0,0,5894,92.094,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramburst,0,23,0,0,1,1,1,0,11,19,128,2048,0,0,11398,89.047,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,24,0,0,1,1,1,0,11,19,4,512,0,0,542,135.500,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
dramsize,0,25,0,0,1,1,1,0,11,19,16,512,0,0,1070,66.875,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0xD4A5000B,0xD4A5000B,0x5A5A0202,dram,0x002D4C40,0x0016C000,0xD4A5000B,1
