# nocreadbench arch=blackhole grid=13x10 num_tx=8 repeats=1 mode=stateful sim=1
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
dist,0,10,0,0,1,2,1,5,2,4,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0502,0x5A5A0203
dist,0,11,0,0,1,2,1,6,2,5,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0602,0x5A5A0203
dist,0,12,0,0,1,2,1,7,2,6,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0702,0x5A5A0203
dist,0,13,0,0,1,2,1,10,2,9,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0A02,0x5A5A0203
dist,0,14,0,0,1,2,1,11,2,10,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0B02,0x5A5A0203
dist,0,15,0,0,1,2,1,12,2,11,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0C02,0x5A5A0203
dist,0,16,0,0,1,2,1,13,2,12,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0D02,0x5A5A0203
dist,0,17,0,0,1,2,1,14,2,13,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0E02,0x5A5A0203
dist,0,18,0,0,1,2,1,15,2,14,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0F02,0x5A5A0203
dist,0,19,0,0,1,2,1,1,3,1,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0103,0x5A5A0203
dist,0,20,0,0,1,2,1,1,4,2,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0104,0x5A5A0203
dist,0,21,0,0,1,2,1,1,5,3,8,64,0,0,207,25.875,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0203,0x5A5A0105,0x5A5A0203
