# dramratebench arch=wormhole magic=0x44524232 grid=8x8 clock_mhz=1000 banks=12
# bytes_per_reader=1048576 tx_bytes=4096 num_tx=256 repeats=3 samecore=absent-on-this-part
# agg_bytes_per_cycle = num_readers * bytes_per_reader / max(t1-t0); each
# reader differences its OWN clock, so a per-core clock epoch cancels
# write region at bank-local +0x01000000; POISON 0xBADDBADD re-laid before EVERY
# write point. witness_ok/stray_writes are -1 in a read row: not zero
# verified, but 'the host did not look, because for a read the DEVICE is
# the witness'. A write row is good only at witness_ok == num_readers AND
# stray_writes == 0 AND tags_ok == num_readers.
arm,repeat,point,num_readers,num_tx,tx_bytes,bytes_per_reader,total_bytes,max_cycles,min_cycles,agg_bytes_per_cycle,agg_gb_per_s,per_reader_bytes_per_cycle,distinct_banks,distinct_dram_cores,tags_ok,max_barrier_spins,measured_readers,direction,witness_ok,stray_writes
onechan,1,8,12,256,4096,1048576,12582912,572050,223991,21.9962,21.996,1.8330,1,1,12,19564,12,read,-1,-1
fanchan,1,9,12,256,4096,1048576,12582912,107992,54135,116.5171,116.517,9.7098,12,12,12,20019,12,read,-1,-1
onechan,1,10,16,256,4096,1048576,16777216,759393,219496,22.0929,22.093,1.3808,1,1,16,20887,16,read,-1,-1
fanchan,1,11,16,256,4096,1048576,16777216,179426,65006,93.5049,93.505,5.8441,12,12,16,20692,16,read,-1,-1
onechan,1,12,24,256,4096,1048576,25165824,1140721,220349,22.0613,22.061,0.9192,1,1,24,21278,24,read,-1,-1
fanchan,1,13,24,256,4096,1048576,25165824,218234,73680,115.3158,115.316,4.8048,12,12,24,21404,24,read,-1,-1
onechan,1,14,32,256,4096,1048576,33554432,1515358,213938,22.1429,22.143,0.6920,1,1,32,21352,32,read,-1,-1
fanchan,1,15,32,256,4096,1048576,33554432,289136,68938,116.0507,116.051,3.6266,12,12,32,21584,32,read,-1,-1
onechan,1,16,48,256,4096,1048576,50331648,2276133,206021,22.1128,22.113,0.4607,1,1,48,21630,48,read,-1,-1
fanchan,1,17,48,256,4096,1048576,50331648,400281,95849,125.7408,125.741,2.6196,12,12,48,21727,48,read,-1,-1
onechan,1,18,64,256,4096,1048576,67108864,3042157,200107,22.0596,22.060,0.3447,1,1,64,21914,64,read,-1,-1
fanchan,1,19,64,256,4096,1048576,67108864,512404,110627,130.9687,130.969,2.0464,12,12,64,21764,64,read,-1,-1
onechan-write,1,20,1,256,4096,1048576,1048576,48056,48056,21.8199,21.820,21.8199,1,1,1,0,1,write,1,0
fanchan-write,1,21,1,256,4096,1048576,1048576,47993,47993,21.8485,21.849,21.8485,1,1,1,0,1,write,1,0
onechan-write,1,22,2,256,4096,1048576,2097152,108127,107998,19.3953,19.395,9.6976,1,1,2,7849,2,write,2,0
fanchan-write,1,23,2,256,4096,1048576,2097152,71263,71231,29.4283,29.428,14.7142,2,2,2,7486,2,write,2,0
onechan-write,1,24,4,256,4096,1048576,4194304,199892,97070,20.9829,20.983,5.2457,1,1,4,13264,4,write,4,0
fanchan-write,1,25,4,256,4096,1048576,4194304,144037,72861,29.1196,29.120,7.2799,4,4,4,13653,4,write,4,0
onechan-write,1,26,8,256,4096,1048576,8388608,393564,97001,21.3145,21.314,2.6643,1,1,8,18595,8,write,8,0
fanchan-write,1,27,8,256,4096,1048576,8388608,298719,72783,28.0819,28.082,3.5102,8,8,8,18670,8,write,8,0
onechan-write,1,28,12,256,4096,1048576,12582912,595109,198286,21.1439,21.144,1.7620,1,1,12,20258,12,write,12,0
fanchan-write,1,29,12,256,4096,1048576,12582912,358366,115037,35.1119,35.112,2.9260,12,12,12,19943,12,write,12,0
onechan-write,1,30,16,256,4096,1048576,16777216,819120,205110,20.4820,20.482,1.2801,1,1,16,20899,16,write,16,0
fanchan-write,1,31,16,256,4096,1048576,16777216,361837,75708,46.3668,46.367,2.8979,12,12,16,20855,16,write,16,0
onechan-write,1,32,24,256,4096,1048576,25165824,1200839,194293,20.9569,20.957,0.8732,1,1,24,21346,24,write,24,0
fanchan-write,1,33,24,256,4096,1048576,25165824,619848,74252,40.6000,40.600,1.6917,12,12,24,21419,24,write,24,0
onechan-write,1,34,32,256,4096,1048576,33554432,1583720,194650,21.1871,21.187,0.6621,1,1,32,21578,32,write,32,0
fanchan-write,1,35,32,256,4096,1048576,33554432,757733,75519,44.2827,44.283,1.3838,12,12,32,21411,32,write,32,0
onechan-write,1,36,48,256,4096,1048576,50331648,2360669,196904,21.3209,21.321,0.4442,1,1,48,21664,48,write,48,0
fanchan-write,1,37,48,256,4096,1048576,50331648,1084757,101927,46.3990,46.399,0.9666,12,12,48,21744,48,write,48,0
onechan-write,1,38,64,256,4096,1048576,67108864,3155959,194565,21.2642,21.264,0.3323,1,1,64,21787,64,write,64,0
fanchan-write,1,39,64,256,4096,1048576,67108864,1307310,150839,51.3336,51.334,0.8021,12,12,64,21912,64,write,64,0
onechan,2,0,1,256,4096,1048576,1048576,47356,47356,22.1424,22.142,22.1424,1,1,1,0,1,read,-1,-1
fanchan,2,1,1,256,4096,1048576,1048576,47381,47381,22.1307,22.131,22.1307,1,1,1,0,1,read,-1,-1
onechan,2,2,2,256,4096,1048576,2097152,103075,102950,20.3459,20.346,10.1729,1,1,2,9047,2,read,-1,-1
fanchan,2,3,2,256,4096,1048576,2097152,47342,47245,44.2979,44.298,22.1490,2,2,2,8373,2,read,-1,-1
onechan,2,4,4,256,4096,1048576,4194304,194668,122815,21.5459,21.546,5.3865,1,1,4,14948,4,read,-1,-1
fanchan,2,5,4,256,4096,1048576,4194304,64854,47339,64.6730,64.673,16.1683,4,4,4,14727,4,read,-1,-1
onechan,2,6,8,256,4096,1048576,8388608,379699,122105,22.0928,22.093,2.7616,1,1,8,18336,8,read,-1,-1
fanchan,2,7,8,256,4096,1048576,8388608,83126,47222,100.9144,100.914,12.6143,8,8,8,18446,8,read,-1,-1
onechan,2,8,12,256,4096,1048576,12582912,577539,223148,21.7871,21.787,1.8156,1,1,12,19973,12,read,-1,-1
fanchan,2,9,12,256,4096,1048576,12582912,108437,54092,116.0389,116.039,9.6699,12,12,12,20324,12,read,-1,-1
onechan,2,10,16,256,4096,1048576,16777216,763480,221068,21.9747,21.975,1.3734,1,1,16,21102,16,read,-1,-1
fanchan,2,11,16,256,4096,1048576,16777216,176441,60777,95.0868,95.087,5.9429,12,12,16,20886,16,read,-1,-1
onechan,2,12,24,256,4096,1048576,25165824,1137698,217323,22.1200,22.120,0.9217,1,1,24,21611,24,read,-1,-1
fanchan,2,13,24,256,4096,1048576,25165824,221636,75433,113.5457,113.546,4.7311,12,12,24,21472,24,read,-1,-1
onechan,2,14,32,256,4096,1048576,33554432,1519320,214666,22.0852,22.085,0.6902,1,1,32,21551,32,read,-1,-1
fanchan,2,15,32,256,4096,1048576,33554432,280128,73139,119.7825,119.782,3.7432,12,12,32,21669,32,read,-1,-1
onechan,2,16,48,256,4096,1048576,50331648,2285456,209251,22.0226,22.023,0.4588,1,1,48,21536,48,read,-1,-1
fanchan,2,17,48,256,4096,1048576,50331648,391912,88062,128.4259,128.426,2.6755,12,12,48,21609,48,read,-1,-1
onechan,2,18,64,256,4096,1048576,67108864,3034204,199850,22.1175,22.117,0.3456,1,1,64,21826,64,read,-1,-1
fanchan,2,19,64,256,4096,1048576,67108864,508960,103033,131.8549,131.855,2.0602,12,12,64,21826,64,read,-1,-1
onechan-write,2,20,1,256,4096,1048576,1048576,47982,47982,21.8535,21.854,21.8535,1,1,1,0,1,write,1,0
fanchan-write,2,21,1,256,4096,1048576,1048576,48000,48000,21.8453,21.845,21.8453,1,1,1,0,1,write,1,0
onechan-write,2,22,2,256,4096,1048576,2097152,107886,107746,19.4386,19.439,9.7193,1,1,2,7487,2,write,2,0
fanchan-write,2,23,2,256,4096,1048576,2097152,71314,71258,29.4073,29.407,14.7036,2,2,2,7470,2,write,2,0
onechan-write,2,24,4,256,4096,1048576,4194304,199492,97039,21.0249,21.025,5.2562,1,1,4,13449,4,write,4,0
fanchan-write,2,25,4,256,4096,1048576,4194304,144053,72935,29.1164,29.116,7.2791,4,4,4,13609,4,write,4,0
onechan-write,2,26,8,256,4096,1048576,8388608,393269,97012,21.3305,21.330,2.6663,1,1,8,16018,8,write,8,0
fanchan-write,2,27,8,256,4096,1048576,8388608,298549,72569,28.0979,28.098,3.5122,8,8,8,18939,8,write,8,0
onechan-write,2,28,12,256,4096,1048576,12582912,602974,200839,20.8681,20.868,1.7390,1,1,12,20045,12,write,12,0
fanchan-write,2,29,12,256,4096,1048576,12582912,359013,115111,35.0486,35.049,2.9207,12,12,12,20172,12,write,12,0
onechan-write,2,30,16,256,4096,1048576,16777216,812295,201782,20.6541,20.654,1.2909,1,1,16,21069,16,write,16,0
fanchan-write,2,31,16,256,4096,1048576,16777216,362174,76288,46.3236,46.324,2.8952,12,12,16,21006,16,write,16,0
onechan-write,2,32,24,256,4096,1048576,25165824,1198196,200550,21.0031,21.003,0.8751,1,1,24,21083,24,write,24,0
fanchan-write,2,33,24,256,4096,1048576,25165824,620485,74061,40.5583,40.558,1.6899,12,12,24,21230,24,write,24,0
onechan-write,2,34,32,256,4096,1048576,33554432,1588087,195284,21.1288,21.129,0.6603,1,1,32,21464,32,write,32,0
fanchan-write,2,35,32,256,4096,1048576,33554432,760613,75645,44.1150,44.115,1.3786,12,12,32,21657,32,write,32,0
onechan-write,2,36,48,256,4096,1048576,50331648,2365959,196775,21.2733,21.273,0.4432,1,1,48,21740,48,write,48,0
fanchan-write,2,37,48,256,4096,1048576,50331648,1093006,98592,46.0488,46.049,0.9594,12,12,48,21631,48,write,48,0
onechan-write,2,38,64,256,4096,1048576,67108864,3163254,199613,21.2151,21.215,0.3315,1,1,64,21936,64,write,64,0
fanchan-write,2,39,64,256,4096,1048576,67108864,1316852,151549,50.9616,50.962,0.7963,12,12,64,21635,64,write,64,0
