phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
pre,0,1786984581.444066,1786984581.885515,1786984581.664791,0.220829,1,16.0000,0.7200,22.0000,500.0000,37.6000,
pre,1,1786984581.885571,1786984582.324555,1786984582.105063,0.661102,1,16.0000,0.7200,22.0000,500.0000,37.6000,
pre,0,1786995173.038693,1786995173.477543,1786995173.258118,0.219493,1,17.0000,0.7200,23.0000,500.0000,40.6000,
pre,1,1786995173.477611,1786995173.915117,1786995173.696363,0.657738,1,17.0000,0.7200,23.0000,500.0000,40.6000,
