phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
pre,0,1786996995.208984,1786996995.651097,1786996995.430041,0.221183,1,17.0000,0.7200,24.0000,500.0000,42.1000,
pre,1,1786996995.651165,1786996996.096771,1786996995.873968,0.665110,1,17.0000,0.7200,24.0000,500.0000,42.1000,
