t,aiclk,arcclk,axiclk,therm_trip
1786995465.084393,500,540,900,
1786995465.334915,500,540,900,
1786995465.585759,1000,540,900,
1786995465.836690,1000,540,900,
1786995466.087641,1000,540,900,
1786995466.338531,1000,540,900,
1786995466.589479,1000,540,900,
1786995466.840436,1000,540,900,
1786995467.091411,1000,540,900,
1786995467.342383,1000,540,900,
1786995467.593335,1000,540,900,
1786995467.844315,1000,540,900,
1786995468.095297,1000,540,900,
1786995468.346255,1000,540,900,
1786995468.597000,1000,540,900,
1786995468.847960,1000,540,900,
1786995469.098935,1000,540,900,
1786995469.349835,1000,540,900,
1786995469.600798,1000,540,900,
1786995469.851774,1000,540,900,
1786995470.102747,1000,540,900,
1786995470.353706,1000,540,900,
1786995470.604678,1000,540,900,
1786995470.855658,1000,540,900,
1786995471.106622,1000,540,900,
1786995471.357584,1000,540,900,
1786995471.608543,1000,540,900,
1786995471.859531,1000,540,900,
1786995472.110489,1000,540,900,
1786995472.361451,1000,540,900,
1786995472.612422,1000,540,900,
1786995472.863420,1000,540,900,
1786995473.114398,1000,540,900,
1786995473.365366,1000,540,900,
1786995473.616330,1000,540,900,
1786995473.867314,1000,540,900,
1786995474.118285,1000,540,900,
1786995474.369249,1000,540,900,
1786995474.620214,1000,540,900,
1786995474.871170,1000,540,900,
1786995475.122144,1000,540,900,
1786995475.373110,1000,540,900,
1786995475.624087,1000,540,900,
1786995475.875057,1000,540,900,
1786995476.126062,1000,540,900,
1786995476.377025,1000,540,900,
1786995476.627994,1000,540,900,
1786995476.878958,1000,540,900,
1786995477.129919,1000,540,900,
1786995477.380886,1000,540,900,
1786995477.631854,1000,540,900,
1786995477.882834,1000,540,900,
1786995478.133792,1000,540,900,
1786995478.384750,1000,540,900,
1786995478.635736,1000,540,900,
1786995478.886696,1000,540,900,
1786995479.137663,1000,540,900,
1786995479.388628,1000,540,900,
1786995479.639615,1000,540,900,
1786995479.890578,1000,540,900,
1786995480.141536,1000,540,900,
1786995480.392504,1000,540,900,
1786995480.643491,1000,540,900,
1786995480.894454,1000,540,900,
1786995481.145410,1000,540,900,
1786995481.396374,1000,540,900,
1786995481.647351,1000,540,900,
1786995481.898312,1000,540,900,
1786995482.149270,1000,540,900,
1786995482.400237,1000,540,900,
1786995482.651222,1000,540,900,
1786995482.902191,1000,540,900,
1786995483.153148,1000,540,900,
1786995483.404106,1000,540,900,
1786995483.655063,1000,540,900,
1786995483.905966,1000,540,900,
1786995484.156932,1000,540,900,
1786995484.407910,1000,540,900,
1786995484.658876,1000,540,900,
1786995484.909840,1000,540,900,
1786995485.160797,1000,540,900,
1786995485.411789,1000,540,900,
1786995485.662752,1000,540,900,
1786995485.913718,1000,540,900,
1786995486.164678,1000,540,900,
1786995486.415695,1000,540,900,
1786995486.666651,1000,540,900,
1786995486.917606,1000,540,900,
1786995487.168568,1000,540,900,
1786995487.419563,1000,540,900,
1786995487.670521,1000,540,900,
1786995487.921484,1000,540,900,
1786995488.172446,1000,540,900,
1786995488.423439,1000,540,900,
1786995488.674406,1000,540,900,
1786995488.925309,1000,540,900,
1786995489.176275,1000,540,900,
1786995489.427281,1000,540,900,
1786995489.678251,1000,540,900,
1786995489.929219,1000,540,900,
1786995490.180189,1000,540,900,
1786995490.431163,1000,540,900,
1786995490.682142,1000,540,900,
1786995490.933103,1000,540,900,
1786995491.184067,1000,540,900,
1786995491.435039,1000,540,900,
1786995491.685944,1000,540,900,
1786995491.936909,1000,540,900,
1786995492.187862,1000,540,900,
1786995492.438831,1000,540,900,
1786995492.689795,1000,540,900,
1786995492.940755,1000,540,900,
1786995493.191725,1000,540,900,
1786995493.442687,1000,540,900,
1786995493.693645,1000,540,900,
