t,aiclk,arcclk,axiclk,therm_trip
1786998027.579255,500,540,900,
1786998027.829773,500,540,900,
1786998028.080410,1000,540,900,
1786998028.331248,1000,540,900,
1786998028.582031,1000,540,900,
1786998028.832838,1000,540,900,
1786998029.083645,1000,540,900,
1786998029.334562,1000,540,900,
1786998029.585514,1000,540,900,
1786998029.836372,1000,540,900,
1786998030.087338,1000,540,900,
1786998030.338290,1000,540,900,
1786998030.589225,1000,540,900,
1786998030.840177,1000,540,900,
1786998031.091084,1000,540,900,
1786998031.342043,1000,540,900,
1786998031.592983,1000,540,900,
1786998031.843817,1000,540,900,
1786998032.094786,1000,540,900,
1786998032.345735,1000,540,900,
1786998032.596690,1000,540,900,
1786998032.847678,1000,540,900,
1786998033.098638,1000,540,900,
1786998033.349591,1000,540,900,
1786998033.600558,1000,540,900,
1786998033.851537,1000,540,900,
1786998034.102486,1000,540,900,
1786998034.353443,1000,540,900,
1786998034.604391,1000,540,900,
1786998034.855379,1000,540,900,
1786998035.106331,1000,540,900,
1786998035.357291,1000,540,900,
1786998035.608260,1000,540,900,
1786998035.859241,1000,540,900,
1786998036.110195,1000,540,900,
1786998036.361150,1000,540,900,
1786998036.612111,1000,540,900,
1786998036.863062,1000,540,900,
1786998037.114018,1000,540,900,
1786998037.364974,1000,540,900,
1786998037.615945,1000,540,900,
1786998037.866901,1000,540,900,
1786998038.117864,1000,540,900,
1786998038.368814,1000,540,900,
1786998038.619777,1000,540,900,
1786998038.870735,1000,540,900,
1786998039.121682,1000,540,900,
1786998039.372642,1000,540,900,
1786998039.623614,1000,540,900,
1786998039.874575,1000,540,900,
1786998040.125528,1000,540,900,
1786998040.376486,1000,540,900,
1786998040.627470,1000,540,900,
1786998040.878424,1000,540,900,
1786998041.129378,1000,540,900,
1786998041.380331,1000,540,900,
1786998041.631333,1000,540,900,
1786998041.882297,1000,540,900,
1786998042.133257,1000,540,900,
1786998042.384215,1000,540,900,
1786998042.635176,1000,540,900,
1786998042.886141,1000,540,900,
1786998043.137106,1000,540,900,
1786998043.388064,1000,540,900,
1786998043.639016,1000,540,900,
1786998043.889977,1000,540,900,
1786998044.140935,1000,540,900,
1786998044.391895,1000,540,900,
1786998044.642852,1000,540,900,
1786998044.893806,1000,540,900,
1786998045.144760,1000,540,900,
1786998045.395731,1000,540,900,
1786998045.646686,1000,540,900,
1786998045.897641,1000,540,900,
1786998046.148601,1000,540,900,
1786998046.399575,1000,540,900,
1786998046.650540,1000,540,900,
1786998046.901491,1000,540,900,
1786998047.152453,1000,540,900,
1786998047.403426,1000,540,900,
1786998047.654388,1000,540,900,
1786998047.905341,1000,540,900,
1786998048.156310,1000,540,900,
1786998048.407285,1000,540,900,
1786998048.658244,1000,540,900,
1786998048.909203,1000,540,900,
1786998049.160158,1000,540,900,
1786998049.411118,1000,540,900,
1786998049.662076,1000,540,900,
1786998049.913037,1000,540,900,
1786998050.163991,1000,540,900,
1786998050.414947,1000,540,900,
1786998050.665894,1000,540,900,
1786998050.916867,1000,540,900,
1786998051.167827,1000,540,900,
1786998051.418786,1000,540,900,
1786998051.669738,1000,540,900,
1786998051.920689,1000,540,900,
1786998052.171662,1000,540,900,
1786998052.422615,1000,540,900,
1786998052.673573,1000,540,900,
1786998052.924536,1000,540,900,
1786998053.175510,1000,540,900,
1786998053.440226,1000,540,900,
1786998053.691180,1000,540,900,
1786998053.942147,1000,540,900,
1786998054.193105,1000,540,900,
1786998054.444061,1000,540,900,
1786998054.695021,1000,540,900,
1786998054.945979,1000,540,900,
1786998055.196962,1000,540,900,
1786998055.447913,1000,540,900,
1786998055.698866,1000,540,900,
1786998055.949812,1000,540,900,
1786998056.200768,1000,540,900,
1786998056.451750,1000,540,900,
1786998056.702714,1000,540,900,
1786998056.953661,1000,540,900,
1786998057.204617,1000,540,900,
1786998057.455603,1000,540,900,
1786998057.706557,1000,540,900,
1786998057.957511,1000,540,900,
1786998058.208470,1000,540,900,
1786998058.459451,1000,540,900,
1786998058.710427,1000,540,900,
1786998059.127257,1000,540,900,
1786998059.378238,1000,540,900,
1786998059.629190,1000,540,900,
1786998059.880149,1000,540,900,
1786998060.131110,1000,540,900,
1786998060.382080,1000,540,900,
1786998060.633040,1000,540,900,
1786998060.884005,1000,540,900,
1786998061.134958,1000,540,900,
1786998061.385908,1000,540,900,
1786998061.636872,1000,540,900,
1786998061.887819,1000,540,900,
1786998062.138781,1000,540,900,
1786998062.389735,1000,540,900,
1786998062.640699,1000,540,900,
1786998062.891702,1000,540,900,
1786998063.142657,1000,540,900,
1786998063.393610,1000,540,900,
1786998063.644574,1000,540,900,
1786998063.895555,1000,540,900,
1786998064.146509,1000,540,900,
1786998064.397465,1000,540,900,
1786998064.648435,1000,540,900,
1786998064.899417,1000,540,900,
1786998065.150379,1000,540,900,
1786998065.401279,1000,540,900,
1786998065.652231,1000,540,900,
1786998065.903211,1000,540,900,
1786998066.154166,1000,540,900,
1786998066.405116,1000,540,900,
1786998066.656070,1000,540,900,
1786998066.907030,1000,540,900,
1786998067.157983,1000,540,900,
1786998067.408937,1000,540,900,
1786998067.659897,1000,540,900,
1786998067.910852,1000,540,900,
1786998068.161805,1000,540,900,
1786998068.412758,1000,540,900,
1786998068.663725,1000,540,900,
1786998068.914688,1000,540,900,
1786998069.165636,1000,540,900,
1786998069.416604,1000,540,900,
1786998069.667581,1000,540,900,
1786998069.918533,1000,540,900,
1786998070.169485,1000,540,900,
1786998070.420443,1000,540,900,
1786998070.671420,1000,540,900,
1786998070.922370,1000,540,900,
1786998071.173328,1000,540,900,
1786998071.424282,1000,540,900,
1786998071.675249,1000,540,900,
1786998071.926200,1000,540,900,
1786998072.176938,1000,540,900,
1786998072.427891,1000,540,900,
1786998072.678840,1000,540,900,
1786998072.929788,1000,540,900,
1786998073.180740,1000,540,900,
1786998073.431729,1000,540,900,
1786998073.682678,1000,540,900,
1786998073.933628,1000,540,900,
1786998074.184587,1000,540,900,
1786998074.435563,1000,540,900,
1786998074.686511,1000,540,900,
1786998074.937462,1000,540,900,
1786998075.188420,1000,540,900,
1786998075.439422,1000,540,900,
1786998075.690380,1000,540,900,
1786998075.941337,1000,540,900,
1786998076.192293,500,540,900,
