phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
pre,0,1786985763.753921,1786985764.191293,1786985763.972607,0.218801,1,16.0000,0.7200,23.0000,500.0000,39.5000,
pre,1,1786985764.191357,1786985764.631556,1786985764.411457,0.657651,1,16.0000,0.7200,23.0000,500.0000,39.3000,
pre,0,1786996355.330601,1786996355.772342,1786996355.551471,0.220936,1,17.0000,0.7200,24.0000,500.0000,42.3000,
pre,1,1786996355.772410,1786996356.211207,1786996355.991808,0.661273,1,17.0000,0.7200,24.0000,500.0000,42.1000,
