phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786996156.713463,1786996157.163897,1786996156.938680,0.225315,1,32.0000,0.8600,37.0000,1000.0000,41.7000,
run,1,1786996157.163946,1786996157.635707,1786996157.399826,0.686462,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,2,1786996157.635782,1786996158.112619,1786996157.874200,1.160836,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,3,1786996158.112723,1786996158.564688,1786996158.338706,1.625341,1,30.0000,0.8600,35.0000,1000.0000,42.2000,
run,4,1786996158.564789,1786996159.015978,1786996158.790383,2.077019,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,5,1786996159.016081,1786996159.469425,1786996159.242753,2.529389,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,6,1786996159.469521,1786996159.928172,1786996159.698846,2.985482,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,7,1786996159.928272,1786996160.381295,1786996160.154783,3.441419,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,8,1786996160.381398,1786996160.836205,1786996160.608801,3.895437,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,9,1786996160.836309,1786996161.293677,1786996161.064993,4.351629,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,10,1786996161.293778,1786996161.748158,1786996161.520968,4.807604,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,11,1786996161.748259,1786996162.203946,1786996161.976102,5.262738,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,12,1786996162.204052,1786996162.661353,1786996162.432703,5.719338,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,13,1786996162.661453,1786996163.111733,1786996162.886593,6.173229,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,14,1786996163.111836,1786996163.567799,1786996163.339817,6.626453,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,15,1786996163.567901,1786996164.025348,1786996163.796625,7.083260,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,16,1786996164.025451,1786996164.476876,1786996164.251163,7.537799,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,17,1786996164.476978,1786996164.929365,1786996164.703171,7.989807,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,18,1786996164.929468,1786996165.381730,1786996165.155599,8.442235,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,19,1786996165.381833,1786996165.836349,1786996165.609091,8.895727,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,20,1786996165.836450,1786996166.295809,1786996166.066129,9.352765,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,21,1786996166.295912,1786996166.749595,1786996166.522753,9.809389,1,32.0000,0.8600,36.0000,1000.0000,42.2000,
run,22,1786996166.749692,1786996167.209882,1786996166.979787,10.266423,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,23,1786996167.209987,1786996167.665794,1786996167.437891,10.724526,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,24,1786996167.665897,1786996168.127657,1786996167.896777,11.183412,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,25,1786996168.127761,1786996168.581557,1786996168.354659,11.641295,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,26,1786996168.581659,1786996169.038309,1786996168.809984,12.096620,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,27,1786996169.038411,1786996169.493818,1786996169.266114,12.552750,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,28,1786996169.493921,1786996169.949327,1786996169.721624,13.008259,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,29,1786996169.949436,1786996170.400790,1786996170.175113,13.461749,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,30,1786996170.400908,1786996170.852193,1786996170.626551,13.913186,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,31,1786996170.852297,1786996171.307999,1786996171.080148,14.366783,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,32,1786996171.308102,1786996171.767065,1786996171.537583,14.824219,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,33,1786996171.767161,1786996172.223403,1786996171.995282,15.281917,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,34,1786996172.223505,1786996172.679685,1786996172.451595,15.738230,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,35,1786996172.679811,1786996173.135311,1786996172.907561,16.194197,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,36,1786996173.135417,1786996173.593610,1786996173.364513,16.651149,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,37,1786996173.593712,1786996174.048441,1786996173.821077,17.107712,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,38,1786996174.048541,1786996174.509092,1786996174.278816,17.565452,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,39,1786996174.509195,1786996174.961483,1786996174.735339,18.021974,1,31.0000,0.8600,36.0000,1000.0000,42.3000,
run,40,1786996174.961587,1786996175.415988,1786996175.188788,18.475423,1,31.0000,0.8600,36.0000,1000.0000,42.3000,
run,41,1786996175.416091,1786996175.875061,1786996175.645576,18.932211,1,31.0000,0.8600,36.0000,1000.0000,42.3000,
run,42,1786996175.875163,1786996176.330379,1786996176.102771,19.389407,1,31.0000,0.8600,36.0000,1000.0000,42.3000,
run,43,1786996176.330481,1786996176.788018,1786996176.559249,19.845885,1,31.0000,0.8600,36.0000,1000.0000,42.3000,
run,44,1786996176.788116,1786996177.242621,1786996177.015369,20.302005,1,31.0000,0.8600,36.0000,1000.0000,42.3000,
run,45,1786996177.242726,1786996177.701964,1786996177.472345,20.758981,1,31.0000,0.8600,36.0000,1000.0000,42.3000,
run,46,1786996177.702070,1786996178.155651,1786996177.928860,21.215496,1,31.0000,0.8600,36.0000,1000.0000,42.3000,
run,47,1786996178.155754,1786996178.614475,1786996178.385114,21.671750,1,31.0000,0.8600,36.0000,1000.0000,42.3000,
