t,aiclk,arcclk,axiclk,therm_trip
1786996646.908216,500,540,900,
1786996647.158723,500,540,900,
1786996647.409321,1000,540,900,
1786996647.660135,1000,540,900,
1786996647.910714,1000,540,900,
1786996648.161315,1000,540,900,
1786996648.411898,1000,540,900,
1786996648.662506,1000,540,900,
1786996648.913156,1000,540,900,
1786996649.164078,1000,540,900,
1786996649.414672,1000,540,900,
1786996649.665493,1000,540,900,
1786996649.916461,1000,540,900,
1786996650.167443,1000,540,900,
1786996650.418406,1000,540,900,
1786996650.669365,1000,540,900,
1786996650.920345,1000,540,900,
1786996651.171320,1000,540,900,
1786996651.422287,1000,540,900,
1786996651.673240,1000,540,900,
1786996651.924200,1000,540,900,
1786996652.175173,1000,540,900,
1786996652.426155,1000,540,900,
1786996652.677118,1000,540,900,
1786996652.928077,1000,540,900,
1786996653.179037,1000,540,900,
1786996653.429988,1000,540,900,
1786996653.680955,1000,540,900,
1786996653.931919,1000,540,900,
1786996654.182885,1000,540,900,
1786996654.433842,1000,540,900,
1786996654.684797,1000,540,900,
1786996654.935773,1000,540,900,
1786996655.186751,1000,540,900,
1786996655.437712,1000,540,900,
1786996655.688677,1000,540,900,
1786996655.939658,1000,540,900,
1786996656.190614,1000,540,900,
1786996656.441577,1000,540,900,
1786996656.692560,1000,540,900,
1786996656.943547,1000,540,900,
1786996657.194509,1000,540,900,
1786996657.445468,1000,540,900,
1786996657.696436,1000,540,900,
1786996657.947419,1000,540,900,
1786996658.198383,1000,540,900,
1786996658.449334,1000,540,900,
1786996658.700299,1000,540,900,
1786996658.951276,1000,540,900,
1786996659.202241,1000,540,900,
1786996659.453197,1000,540,900,
1786996659.704157,1000,540,900,
1786996659.955119,1000,540,900,
1786996660.206109,1000,540,900,
1786996660.457073,1000,540,900,
1786996660.708027,1000,540,900,
1786996660.958998,1000,540,900,
1786996661.209961,1000,540,900,
1786996661.460931,1000,540,900,
1786996661.711899,1000,540,900,
1786996661.962865,1000,540,900,
1786996662.213828,1000,540,900,
1786996662.464787,1000,540,900,
1786996662.715770,1000,540,900,
1786996662.966732,1000,540,900,
1786996663.217697,1000,540,900,
1786996663.468652,1000,540,900,
1786996663.719632,1000,540,900,
1786996663.970611,1000,540,900,
1786996664.221576,1000,540,900,
1786996664.472542,1000,540,900,
1786996664.723519,1000,540,900,
1786996664.974484,1000,540,900,
1786996665.225440,1000,540,900,
1786996665.476408,1000,540,900,
1786996665.727389,1000,540,900,
1786996665.978348,1000,540,900,
1786996666.229309,1000,540,900,
1786996666.480267,1000,540,900,
1786996666.731236,1000,540,900,
1786996666.982191,1000,540,900,
1786996667.233154,1000,540,900,
1786996667.484106,1000,540,900,
1786996667.735067,1000,540,900,
1786996667.986019,1000,540,900,
1786996668.237005,1000,540,900,
1786996668.487967,1000,540,900,
1786996668.738921,1000,540,900,
1786996668.989879,1000,540,900,
1786996669.240865,1000,540,900,
1786996669.491844,1000,540,900,
1786996669.742802,1000,540,900,
1786996669.993779,1000,540,900,
1786996670.244733,1000,540,900,
1786996670.495707,1000,540,900,
1786996670.746682,1000,540,900,
1786996670.997645,1000,540,900,
1786996671.248605,1000,540,900,
1786996671.499580,1000,540,900,
1786996671.750543,1000,540,900,
1786996672.001503,1000,540,900,
1786996672.252463,1000,540,900,
1786996672.503446,1000,540,900,
1786996672.754410,1000,540,900,
1786996673.005381,1000,540,900,
1786996673.256353,1000,540,900,
1786996673.507332,1000,540,900,
1786996673.758295,1000,540,900,
1786996674.009257,1000,540,900,
1786996674.260216,1000,540,900,
1786996674.511199,1000,540,900,
1786996674.762152,1000,540,900,
1786996675.013113,1000,540,900,
1786996675.264078,1000,540,900,
1786996675.515043,1000,540,900,
1786996675.765995,1000,540,900,
1786996676.016959,1000,540,900,
1786996676.267925,1000,540,900,
1786996676.518886,1000,540,900,
1786996676.769852,1000,540,900,
1786996677.020817,1000,540,900,
1786996677.271794,1000,540,900,
1786996677.522756,1000,540,900,
1786996677.773724,1000,540,900,
1786996678.024709,1000,540,900,
1786996678.275682,1000,540,900,
1786996678.526648,1000,540,900,
1786996678.777603,1000,540,900,
1786996679.028577,1000,540,900,
1786996679.279557,1000,540,900,
1786996679.530514,1000,540,900,
1786996679.781463,1000,540,900,
1786996680.032427,1000,540,900,
1786996680.283419,1000,540,900,
1786996680.534379,1000,540,900,
1786996680.785338,1000,540,900,
1786996681.036328,1000,540,900,
1786996681.287310,1000,540,900,
1786996681.538270,1000,540,900,
1786996681.789233,1000,540,900,
1786996682.040201,1000,540,900,
1786996682.291168,1000,540,900,
1786996682.542132,1000,540,900,
1786996682.793095,1000,540,900,
1786996683.044062,1000,540,900,
1786996683.295027,1000,540,900,
1786996683.545933,1000,540,900,
1786996683.796896,1000,540,900,
1786996684.047863,1000,540,900,
1786996684.298823,1000,540,900,
1786996684.549786,1000,540,900,
1786996684.800752,1000,540,900,
1786996685.051724,1000,540,900,
1786996685.302683,1000,540,900,
1786996685.553640,1000,540,900,
1786996685.804600,1000,540,900,
1786996686.055573,1000,540,900,
1786996686.306539,1000,540,900,
1786996686.557503,1000,540,900,
1786996686.808458,1000,540,900,
1786996687.059442,1000,540,900,
1786996687.310401,1000,540,900,
1786996687.561362,1000,540,900,
1786996687.812323,1000,540,900,
1786996688.063300,1000,540,900,
1786996688.314264,1000,540,900,
1786996688.565231,1000,540,900,
1786996688.816181,1000,540,900,
1786996689.067144,1000,540,900,
1786996689.318117,1000,540,900,
1786996689.569082,1000,540,900,
1786996689.820076,1000,540,900,
1786996690.071041,1000,540,900,
1786996690.322003,1000,540,900,
1786996690.572963,1000,540,900,
1786996690.823927,1000,540,900,
1786996691.074892,1000,540,900,
1786996691.325857,1000,540,900,
1786996691.576822,1000,540,900,
1786996691.827802,1000,540,900,
1786996692.078759,1000,540,900,
1786996692.329715,1000,540,900,
1786996692.580682,1000,540,900,
1786996692.831650,1000,540,900,
1786996693.082616,1000,540,900,
1786996693.333570,1000,540,900,
1786996693.584539,1000,540,900,
1786996693.835516,1000,540,900,
1786996694.086482,1000,540,900,
1786996694.337440,1000,540,900,
1786996694.588415,1000,540,900,
1786996694.839384,1000,540,900,
1786996695.090336,1000,540,900,
1786996695.341300,1000,540,900,
