phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
pre,0,1786985072.743618,1786985073.187827,1786985072.965723,0.222275,1,16.0000,0.7200,22.0000,500.0000,38.5000,
pre,1,1786985073.187955,1786985073.627783,1786985073.407869,0.664421,1,16.0000,0.7200,22.0000,500.0000,38.5000,
pre,0,1786995664.225815,1786995664.666488,1786995664.446151,0.220404,1,17.0000,0.7200,24.0000,500.0000,41.5000,
pre,1,1786995664.666557,1786995665.106313,1786995664.886435,0.660688,1,17.0000,0.7200,24.0000,500.0000,41.5000,
