# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=wormhole grid_x=10 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=18-18,18-19,18-20,18-21,18-22,18-23,18-24,18-25,19-18,19-19,19-25,20-18,20-20,20-24,21-18,21-21,22-18,22-19,22-22,23-18,23-20,23-23,24-18,24-20,24-24,25-18,25-25
# hops: 21 points, 21 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 20 points, 40 flows
# measured by nocbench on arch=wormhole magic=0x4E4F4342
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
27,shared,64B/share0,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,64,5,22,0,0,1,2746,191545526,191548272,11,2,1,0
27,shared,64B/share0,1,2,5,0,23,18,7,1,0,2,18,20,1,4,0,0,1,0,64,64,7,22,0,0,1,2746,191545567,191548313,261384,7,1,0
28,shared,64B/share1,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,64,5,22,1,0,1,2744,193231454,193234198,11,2,1,0
28,shared,64B/share1,1,2,7,0,25,18,9,1,2,2,20,20,3,4,0,0,1,0,64,64,7,22,1,0,1,2748,193231528,193234276,261547,9,1,0
29,shared,64B/share2,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,64,5,22,2,0,1,2752,194947846,194950598,12,2,1,0
29,shared,64B/share2,1,2,3,0,21,18,4,1,6,2,24,20,8,4,0,0,1,0,64,64,7,22,2,0,1,2747,194947854,194950601,260458,4,1,0
30,shared,64B/share3,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,64,5,22,3,0,1,2744,196615815,196618559,11,2,1,0
30,shared,64B/share3,1,2,2,0,20,18,3,1,5,2,23,20,7,4,0,0,1,0,64,64,7,22,3,0,1,2750,196615822,196618572,265607,3,1,0
31,shared,512B/share0,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,512,5,22,0,0,1,2756,198323514,198326270,11,2,1,0
31,shared,512B/share0,1,2,5,0,23,18,7,1,0,2,18,20,1,4,0,0,1,0,64,512,7,22,0,0,1,2758,198323551,198326309,260648,7,1,0
32,shared,512B/share1,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,512,5,22,1,0,1,2760,200029743,200032503,11,2,1,0
32,shared,512B/share1,1,2,7,0,25,18,9,1,2,2,20,20,3,4,0,0,1,0,64,512,7,22,1,0,1,2770,200029814,200032584,261277,9,1,0
33,shared,512B/share2,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,512,5,22,2,0,1,2760,201717049,201719809,11,2,1,0
33,shared,512B/share2,1,2,3,0,21,18,4,1,6,2,24,20,8,4,0,0,1,0,64,512,7,22,2,0,1,2771,201717058,201719829,261469,4,1,0
34,shared,512B/share3,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,512,5,22,3,0,1,2758,203386062,203388820,11,2,1,0
34,shared,512B/share3,1,2,2,0,20,18,3,1,5,2,23,20,7,4,0,0,1,0,64,512,7,22,3,0,1,2765,203386069,203388834,261645,3,1,0
35,shared,2048B/share0,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,2048,5,22,0,0,1,4585,205074061,205078646,11,2,1,0
35,shared,2048B/share0,1,2,5,0,23,18,7,1,0,2,18,20,1,4,0,0,1,0,64,2048,7,22,0,0,1,4595,205074104,205078699,261416,7,1,0
36,shared,2048B/share1,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,2048,5,22,1,0,1,8672,206789995,206798667,12,2,1,0
36,shared,2048B/share1,1,2,7,0,25,18,9,1,2,2,20,20,3,4,0,0,1,0,64,2048,7,22,1,0,1,8513,206790065,206798578,260119,9,1,0
37,shared,2048B/share2,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,2048,5,22,2,0,1,8679,208619679,208628358,11,2,1,0
37,shared,2048B/share2,1,2,3,0,21,18,4,1,6,2,24,20,8,4,0,0,1,0,64,2048,7,22,2,0,1,8739,208619688,208628427,262224,4,1,0
38,shared,2048B/share3,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,2048,5,22,3,0,1,8698,210447419,210456117,11,2,1,0
38,shared,2048B/share3,1,2,2,0,20,18,3,1,5,2,23,20,7,4,0,0,1,0,64,2048,7,22,3,0,1,8756,210447427,210456183,261834,3,1,0
39,shared,8192B/share0,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,8192,5,22,0,0,1,17135,212297645,212314780,11,2,1,0
39,shared,8192B/share0,1,2,5,0,23,18,7,1,0,2,18,20,1,4,0,0,1,0,64,8192,7,22,0,0,1,17136,212297688,212314824,266752,7,1,0
40,shared,8192B/share1,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,8192,5,22,1,0,1,33272,214019775,214053047,11,2,1,0
40,shared,8192B/share1,1,2,7,0,25,18,9,1,2,2,20,20,3,4,0,0,1,0,64,8192,7,22,1,0,1,32967,214019846,214052813,261150,9,1,0
41,shared,8192B/share2,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,8192,5,22,2,0,1,33576,215879235,215912811,11,2,1,0
41,shared,8192B/share2,1,2,3,0,21,18,4,1,6,2,24,20,8,4,0,0,1,0,64,8192,7,22,2,0,1,33826,215879244,215913070,259961,4,1,0
42,shared,8192B/share3,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,8192,5,22,3,0,1,33568,217747658,217781226,11,2,1,0
42,shared,8192B/share3,1,2,2,0,20,18,3,1,5,2,23,20,7,4,0,0,1,0,64,8192,7,22,3,0,1,33820,217747668,217781488,261083,3,1,0
43,shared,16384B/share0,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,16384,5,22,0,0,1,33954,219472812,219506766,11,2,1,0
43,shared,16384B/share0,1,2,5,0,23,18,7,1,0,2,18,20,1,4,0,0,1,0,64,16384,7,22,0,0,1,33880,219472855,219506735,261600,7,1,0
44,shared,16384B/share1,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,16384,5,22,1,0,1,66169,221412157,221478326,12,2,1,0
44,shared,16384B/share1,1,2,7,0,25,18,9,1,2,2,20,20,3,4,0,0,1,0,64,16384,7,22,1,0,1,65884,221412226,221478110,262267,9,1,0
45,shared,16384B/share2,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,16384,5,22,2,0,1,67098,223353892,223420990,11,2,1,0
45,shared,16384B/share2,1,2,3,0,21,18,4,1,6,2,24,20,8,4,0,0,1,0,64,16384,7,22,2,0,1,67353,223353905,223421258,261754,4,1,0
46,shared,16384B/share3,0,2,1,0,19,18,2,1,4,1,22,19,6,2,0,0,1,0,64,16384,5,22,3,0,1,67115,225281369,225348484,11,2,1,0
46,shared,16384B/share3,1,2,2,0,20,18,3,1,5,2,23,20,7,4,0,0,1,0,64,16384,7,22,3,0,1,67366,225281377,225348743,261716,3,1,0
