label,arch,arm,inner,launches,cost_model,sim_cycles,instr_retired,tensix_dispatch,noc_bytes_total,noc_txns,matrix_busy_cycles,sfpu_busy_cycles,packer_busy_cycles,unpacker_busy_cycles,thcon_busy_cycles,mover_busy_cycles,rv_stall_cycles,tensix_stall_cycles,noc_flight_cycles,matrix_arith_cycles
idle-0,blackhole,idle,0,1,1,7499,14610.0,27.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9602.0,0.0,0.0,1.0
rv-200000,blackhole,rv,200000,1,1,1407599,3755328.0,27.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3269387.0,0.0,0.0,1.0
noc-4096,blackhole,noc,4096,1,1,1998299,3908145.0,27.0,8388608.0,8192.0,1.0,3.0,0.0,0.0,0.0,0.0,6070070.0,0.0,1843200.0,1.0
mm-4096,blackhole,mm,4096,1,1,284399,947503.0,397798.0,6144.0,6.0,270341.0,3.0,16.0,0.0,12316.0,0.0,461222.0,493758.0,1338.0,262148.0
sfpu-4096,blackhole,sfpu,4096,1,1,776199,2495706.0,2101863.0,12288.0,6.0,167950.0,524292.0,16.0,0.0,29.0,0.0,1372019.0,768769.0,1456.0,12.0
rv-800000,blackhole,rv,800000,1,1,5607599,14976866.0,27.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,13047849.0,0.0,0.0,1.0
noc-16384,blackhole,noc,16384,1,1,7970299,15587881.0,27.0,33554432.0,32768.0,1.0,3.0,0.0,0.0,0.0,0.0,24250345.0,0.0,7372800.0,1.0
mm-16384,blackhole,mm,16384,1,1,1107699,3725797.0,1589734.0,6144.0,6.0,1081349.0,3.0,16.0,0.0,49180.0,0.0,1799428.0,1968318.0,1338.0,1048580.0
sfpu-16384,blackhole,sfpu,16384,1,1,3074099,9918079.0,8405607.0,12288.0,6.0,671758.0,2097156.0,16.0,0.0,29.0,0.0,5439145.0,3066625.0,1456.0,12.0
